-8292,4922,3124,-1335,211,439,-8914,938,441,-259,-372,-628
-6940,4179,3122,-1612,200,649,-7470,854,259,-253,-287,-390
-6089,3484,3129,-1473,117,862,-6050,622,251,-404,-146,-219
-5322,2807,2971,-974,-34,1134,-5395,353,327,-520,-44,-155
-5056,2582,2880,-557,-135,1267,-4859,-69,426,-505,42,-94
-5237,2388,2820,-112,-237,1362,-4671,-225,529,-343,71,-54
-5530,2374,2797,113,-299,1378,-4627,-130,554,-19,82,-13
-5972,2399,2760,266,-376,1322,-4697,211,510,194,84,43
-6294,2335,2598,318,-435,1245,-5206,665,474,334,99,200
-6587,2231,2474,385,-491,1113,-6129,924,481,351,116,376
-6893,2259,2318,442,-499,994,-7481,1004,583,311,132,663
-7173,2376,2278,496,-466,821,-8468,850,697,283,127,891
-7165,2591,2246,487,-411,703,-9124,604,702,249,95,1156
-6862,2867,2302,386,-315,585,-9047,346,693,175,80,1301
-6521,3068,2369,255,-230,545,-8688,96,632,-21,105,1410
-6443,3370,2506,-8,-108,552,-8542,-61,607,-235,155,1411
-6524,3456,2585,-263,-24,583,-8327,-351,641,-557,247,1318
-6641,3286,2657,-556,67,629,-8256,-741,756,-727,320,1219
-6648,3154,2735,-678,113,650,-8099,-1238,1041,-740,386,1119
-6626,3074,2811,-744,139,660,-8248,-1916,1635,-513,435,975
-6766,2985,3003,-773,153,655,-8547,-2372,2345,-176,419,841
-7244,2836,3177,-738,143,616,-9869,-2107,2849,299,309,669
-8218,2634,3313,-607,103,476,-10978,-1719,3023,487,187,615
-8203,2582,3301,-476,54,315,-11073,-1542,3161,485,58,654
-7091,2562,2915,-291,-10,127,-9863,-1887,3006,379,29,676
-5868,2539,2626,-117,-41,66,-7763,-2558,2785,223,30,580
-4875,2705,2462,66,-6,94,-6497,-2807,2716,139,45,401
-6122,2663,2505,121,31,139,-8501,-2351,2465,90,46,93
-10419,2292,2767,162,-16,-47,-13074,-1363,2562,112,32,-18
-11655,2354,2633,183,-98,-442,-15515,-1398,2636,353,-17,98
-9128,2827,2157,81,-88,-1054,-12467,-2175,2479,779,-50,200
-6999,2859,1788,8,-1,-1342,-8123,-2503,2107,1175,-64,101
-5282,2798,1850,236,128,-1426,-6200,-2224,2172,1100,-25,-181
-4925,3110,2180,479,223,-1281,-5574,-1862,2469,680,22,-676
-5254,3782,2530,489,252,-1076,-5701,-1807,2618,376,-27,-965
-5356,3944,2588,214,221,-1026,-6146,-1735,2570,232,-199,-1198
-5397,3286,2504,-129,219,-983,-6648,-1412,2369,303,-346,-1302
-5636,2797,2381,-131,247,-959,-7374,-621,1946,396,-491,-1332
-6070,2649,2356,134,270,-1024,-7965,-86,1655,336,-535,-1252
-6362,3073,2461,326,275,-1107,-8560,517,1374,46,-514,-1034
-6730,3648,2645,320,280,-1162,-8582,819,1162,-336,-445,-839
