1501,1153,1237,-2531,223,1412,-5200,-3303,1517,3996,1051,-4230
1339,-3363,1890,-1397,-230,1404,-1960,2849,3920,7254,-113,-3437
2993,-4922,1854,12,-423,1065,-96,8259,5285,6495,-973,-2200
3651,-5246,1838,1305,-499,535,1684,6259,3263,2931,-978,-2185
3171,-3683,1276,2343,-441,-273,2173,5243,1827,545,-641,-2051
1943,-1589,950,2567,-429,-948,2771,4627,-44,-2104,-311,-1448
1730,1394,597,2025,-533,-1737,2889,3492,-450,-3862,-211,-934
747,2748,723,1143,-686,-1963,2529,1371,-812,-5414,-268,-481
983,3499,478,36,-757,-1797,2365,-464,-789,-5742,-324,-313
289,3590,396,-502,-696,-1553,2091,-2011,-667,-5292,-440,-406
-177,3198,259,-912,-550,-1073,1764,-2797,-576,-4445,-543,-542
-473,3133,352,-990,-435,-696,863,-3289,-221,-2895,-659,-728
-1824,3109,757,-891,-309,-258,-352,-3388,-19,-1615,-725,-834
-4732,3650,2071,-856,-224,26,-3535,-3355,538,-140,-787,-849
-12338,4094,3436,-1054,-138,381,-7511,-3685,996,710,-888,-661
-20380,2739,3067,-906,-210,541,-13232,-4161,826,1437,-1016,-170
-32768,1780,3300,8,-472,628,-23646,-5251,329,2487,-1004,1056
-32768,2116,3852,947,-617,628,-29418,-6076,1810,3215,-817,2234
-32011,2408,3400,1755,-606,621,-31143,-5517,2097,3504,-149,3583
-27919,2071,3087,2349,-118,799,-29741,-3201,3698,2735,679,4063
-23662,2440,3227,2346,589,946,-26405,-2642,5679,1165,1670,3854
-16614,3990,3862,1457,1552,870,-20914,-5205,6040,592,2016,3274
-10595,4974,5007,59,1945,850,-13063,-7498,6017,1497,1996,2168
-4913,5055,4194,-2439,1907,1213,-8115,-6007,4495,2774,1530,1169
-2441,2797,2049,-3844,1617,1708,-3221,3973,3595,2588,632,-173
113,-392,1365,-4391,1115,2387,-1207,-282,7143,-386,-191,-407
521,-2735,1597,-3910,773,2640,2001,-733,4332,-1030,-595,-388
794,-4313,2495,-2736,383,2499,1963,155,1878,-1205,-343,-401
1547,-5801,2655,-1973,125,2022,1286,407,642,-1626,-74,4
1865,-5915,2576,-1218,-26,1423,738,-737,140,-1914,-21,315
2309,-5747,2002,-800,-30,969,273,-1611,132,-1899,-113,488
2383,-5830,1265,48,-41,345,460,-1822,347,-1768,-226,429
2508,-5159,972,947,-74,-168,832,-2186,342,-1525,-340,364
2088,-3508,991,1720,-104,-667,940,-2149,-54,-1120,-491,330
1493,-1271,1157,2328,-137,-1109,1091,-1795,-430,-913,-579,355
964,415,1369,2134,-212,-1197,1192,-1803,-747,-767,-621,404
