1264,1358,-4202,1116,-202,605,-3875,3761,-5809,526,-953,573
1597,612,-4121,1367,-354,338,-5206,2996,-8356,-394,-969,587
1658,1872,-4775,1876,-563,-15,-6495,638,-10004,-1534,-718,558
1502,3828,-6003,1861,-611,-191,-7138,-447,-11481,-1652,-343,455
1371,5179,-6769,1180,-477,-301,-7470,-1173,-11641,-1039,198,277
1540,5217,-6754,617,-294,-290,-6329,-753,-10237,-264,480,174
2013,4764,-6238,126,-86,-275,-4439,615,-7877,479,648,116
2480,4552,-5504,8,-16,-307,-3273,1276,-6323,514,667,165
2947,4356,-4932,-36,-28,-362,-2221,1559,-4753,150,575,336
3469,4125,-4561,-92,-123,-440,-1756,1196,-4109,-240,448,455
3767,4005,-4661,-104,-236,-482,-1505,467,-3953,-586,217,568
3916,3872,-4991,-5,-425,-527,-1490,109,-4103,-676,27,624
3894,3711,-5263,178,-564,-551,-1576,-217,-4484,-607,-212,664
3721,3481,-5996,639,-728,-568,-1834,-127,-4917,-538,-370,668
3560,3428,-6627,1120,-828,-573,-2319,-189,-5614,-502,-508,648
3234,3765,-7616,1746,-919,-564,-2743,-78,-6242,-423,-581,620
3029,4527,-8264,1860,-953,-480,-3125,165,-7160,-358,-609,607
2675,4808,-9082,1520,-896,-297,-3389,75,-7650,-342,-571,602
2452,4793,-9413,1073,-787,-147,-3605,-49,-8177,-142,-474,571
2293,4272,-9596,481,-579,27,-3735,34,-8370,115,-420,538
2129,3588,-9621,216,-423,113,-3738,328,-8250,447,-359,496
2051,3035,-9437,158,-240,158,-3746,595,-8284,540,-296,473
2065,2867,-8910,111,-129,149,-3780,756,-7999,502,-221,464
2101,2545,-8268,-18,-17,120,-3731,785,-7638,365,-129,450
2008,2188,-7836,-93,26,82,-3643,727,-7271,268,-87,430
1945,1852,-7633,-27,33,15,-3570,643,-6916,217,-76,376
1923,1858,-7496,83,16,-34,-3528,724,-6764,203,-85,317
1907,1893,-7383,149,-12,-83,-3589,919,-6617,173,-121,243
1782,1905,-7481,167,-63,-155,-3669,1034,-6661,108,-136,200
1699,1909,-7431,162,-95,-210,-3758,1019,-6624,68,-160,172
1592,1798,-7387,166,-128,-281,-3774,1084,-6502,88,-183,162
1486,1934,-7279,159,-144,-344,-3819,1006,-6433,232,-228,153
1352,2107,-7141,62,-163,-417,-3872,1072,-6039,433,-296,156
1305,2163,-7106,12,-189,-455,-3787,1409,-5600,717,-371,182
1257,2088,-6840,-58,-235,-504,-3842,1417,-5188,912,-436,220
1218,2180,-6570,-115,-281,-536,-3825,1500,-4394,1269,-580,287
1247,2506,-5712,-435,-373,-575,-3858,1802,-4054,1512,-706,363
1261,2579,-4942,-965,-465,-608,-4054,1854,-3629,1740,-891,496
1281,2453,-3731,-2007,-608,-703,-4283,2082,-3324,1755,-1030,624
1348,2332,-2756,-3026,-726,-851,-4648,2027,-2900,1594,-1194,798
1214,1157,-2597,-4217,-926,-1142,-5069,2431,-3137,1268,-1300,914
173,-351,-2926,-3965,-1155,-1496,-5628,2206,-3067,608,-1403,1071
-1215,193,-3231,-2741,-1479,-2077,-6294,2233,-3845,133,-1458,1195
-3038,543,-4621,-1376,-1719,-2477,-6997,2290,-4525,-461,-1470,1317
-4600,2841,-4980,298,-1889,-2874,-7923,1824,-5579,-1286,-1403,1434
-5506,4882,-5654,509,-1903,-3007,-8457,1246,-6066,-1704,-1304,1463
-6464,6312,-6966,-236,-1803,-3023,-8820,513,-6576,-1691,-1151,1410
-7252,6337,-7711,-866,-1653,-2981,-8942,340,-7015,-1297,-1039,1312
-7314,6809,-7718,-1481,-1386,-2930,-8784,219,-6986,-487,-891,1173
-7323,7145,-7806,-2266,-939,-2780,-8562,448,-6857,188,-785,1093
-7123,6889,-7638,-2630,-592,-2630,-8122,1124,-6583,906,-640,1020
-6655,6567,-7043,-2577,-187,-2411,-7871,1415,-6272,1101,-518,1004
