172,1637,287,-669,69,-254,-153,-1587,387,-763,-481,519
164,339,558,-1148,104,-91,-276,-1118,319,-397,-454,302
213,-325,786,-1105,87,-47,373,-213,-156,-239,-446,110
491,-899,971,-847,40,-71,844,69,-345,-336,-431,51
608,-1424,907,-204,-58,-189,1314,-74,-318,-401,-383,43
335,-1248,1038,320,-140,-297,1251,-309,-209,-270,-326,68
-382,-362,1261,720,-236,-403,678,-700,44,112,-252,128
-1079,28,1436,762,-286,-435,-572,-579,289,404,-205,179
-2945,264,1596,675,-310,-440,-3026,-420,779,531,-171,260
-6225,213,1741,735,-288,-414,-5677,-779,1464,447,-126,338
-9617,1007,2730,740,-227,-371,-9798,-1529,3106,316,-42,411
-12094,1632,4058,436,-82,-253,-13042,-2014,4362,328,15,431
-15056,2223,5938,-370,196,29,-16093,-1983,5527,439,86,385
-17987,1731,6859,-1091,326,282,-18119,-1418,6138,453,75,260
-23625,-249,6040,-1506,236,485,-23052,-785,6257,168,29,10
-29741,-1231,5636,-1035,-67,489,-29798,-1511,7476,-211,36,-140
-32768,-982,6135,147,-420,442,-32768,-3546,8452,-517,128,-130
-32473,-259,6276,778,-570,318,-32105,-3632,8466,-314,205,11
-25875,-288,6071,999,-343,383,-25077,-1952,7763,-130,312,-66
-21592,-294,5664,981,39,488,-20714,-653,7114,-347,444,-324
-16220,-811,4961,717,487,609,-17855,-145,6362,-611,486,-567
-11410,-1170,4638,359,591,662,-12825,-14,6078,-422,376,-681
-6087,-1789,4058,-69,539,685,-6358,-1148,5194,-158,304,-516
2022,-1403,2530,-215,340,503,1085,-4,3942,539,180,-476
6034,-1449,1546,-469,214,465,3813,748,2046,729,62,-442
5009,-1773,866,-686,55,280,5042,2756,530,585,19,-446
1911,-2877,1186,-571,-93,-26,2084,2401,1440,232,26,-430
-594,-3193,1022,47,-248,-445,113,1570,2160,106,2,-175
-1525,-2280,1191,685,-291,-694,-1022,1283,2295,103,-17,204
-1247,-345,1070,1148,-211,-844,-1204,749,1817,-74,-135,733
-387,1102,717,1049,-98,-834,-690,-50,1242,-336,-276,973
55,1867,349,489,16,-646,-275,-1010,541,-621,-435,990
-69,1764,287,21,30,-475,-371,-1327,230,-816,-518,828
301,955,217,-285,-11,-270,-370,-1678,207,-942,-554,490
177,914,585,-318,-24,-208,-233,-1439,131,-938,-536,195
355,449,679,-294,-50,-139,90,-937,-257,-918,-496,-143
625,188,587,-216,-67,-139,506,-510,-466,-878,-463,-306
694,-208,625,51,-100,-176,1047,-123,-546,-679,-409,-398
498,65,865,220,-114,-231,1025,84,-410,-390,-359,-385
62,484,1021,243,-123,-274,838,-97,-272,-7,-304,-298
-628,736,1350,24,-137,-287,-254,-49,67,517,-218,-126
-2118,984,1635,-161,-152,-272,-2336,-82,488,731,-143,21
-6644,592,1747,-107,-168,-222,-6198,-542,1244,739,-54,180
-10427,634,1851,185,-177,-186,-10137,-963,1577,563,33,267
-15780,1136,2898,470,-96,-43,-17744,-1938,3858,193,217,358
-17850,782,4496,428,85,174,-17851,-2144,5576,66,372,348
-18828,-185,4904,125,251,444,-16572,-1360,6482,207,371,19
-20846,-1649,4211,275,178,525,-20093,-145,5698,103,359,-343
-28380,-1115,4425,1265,-4,445,-29143,-519,6182,-494,365,-578
-32768,696,4547,1960,-39,348,-32768,-3000,7308,-678,417,-469
-32768,1302,6235,1917,226,163,-32768,-4814,9363,197,832,99
-27599,1163,6292,1040,429,140,-27525,-3442,9999,1202,1139,387
-19392,1462,5531,-145,753,41,-19086,135,9192,1225,1243,348
-14732,2199,5349,-887,918,-109,-13683,1704,5666,339,1061,89
-8727,2283,4394,-1847,973,-95,-9835,1224,6460,-632,723,-189
-5967,-2857,6775,-1998,972,-4,-3211,-1235,5797,-637,524,-353
1379,933,2358,-1818,726,43,2931,-779,5199,614,256,-615
4299,-2124,2324,-1622,377,479,5601,980,3146,1378,-7,-706
4491,-1810,2508,-908,211,514,3835,3390,1830,1291,-69,-563
1068,-1891,2866,-82,60,346,907,3421,1872,619,-75,-332
-1023,-2016,3191,403,-94,84,5,2796,1996,-40,-68,38
-1185,-642,3072,711,-222,-308,-703,1298,2027,-646,-38,616
-1179,209,2779,653,-241,-484,-1188,-34,1511,-827,-80,994
-790,917,2180,478,-264,-502,-798,-1197,563,-821,-225,1238
-258,933,1894,273,-286,-380,-301,-1737,165,-779,-303,1201
108,730,1449,31,-321,-179,149,-2039,-10,-738,-331,920
266,115,1080,-5,-365,-73,211,-2076,130,-675,-304,626
730,-273,721,149,-423,-20,327,-1844,256,-528,-263,239
1011,-581,598,282,-449,-25,474,-1477,207,-438,-254,24
835,-627,364,439,-463,-108,548,-1062,282,-391,-275,-128
313,-171,250,494,-455,-205,234,-1016,465,-358,-308,-177
-133,741,307,248,-417,-292,-40,-962,632,-233,-364,-213
-330,1269,385,-205,-369,-258,-132,-994,653,-115,-398,-228
-472,1609,512,-967,-301,-105,-764,-839,830,-17,-424,-282
-1216,1587,570,-1530,-259,39,-1982,-769,976,-51,-432,-324
-4594,1194,715,-1797,-231,170,-5299,-1046,1524,-212,-414,-336
-9506,785,951,-1654,-241,244,-8769,-1515,2222,-332,-374,-310
-14116,-179,1423,-1199,-229,318,-16079,-2409,4274,-321,-289,-236
-18495,-1794,3979,-366,-66,507,-18977,-3133,5256,45,-192,-158
-19122,-1919,5860,101,117,690,-19593,-3198,5705,646,-148,-115
-23134,-2441,4614,728,87,794,-24837,-2415,5379,1203,-154,-188
-27589,-1861,4512,1318,-165,744,-30695,-2076,5886,1156,-145,-271
-32768,148,4948,1830,-369,522,-32768,-1859,6736,596,26,-251
-32005,1204,5659,1559,-269,440,-30517,-2640,7669,153,240,-99
-27173,705,6051,455,126,438,-25675,-2760,8294,-16,491,-48
-23607,174,5878,-123,461,323,-22186,-1948,8370,-77,621,-208
-18060,-143,5788,-467,833,143,-17928,-988,7235,-93,489,-515
-13338,-338,6119,-677,903,110,-14269,-1188,6513,150,299,-614
-5331,3612,4842,-446,667,111,-8149,280,4814,134,-71,-646
-855,-3652,4262,-998,556,244,-853,175,3359,110,-288,-624
5586,-3477,2236,-594,57,418,3407,1580,1339,-129,-426,-614
7259,-3428,1800,-131,-185,220,5985,2529,-12,-507,-432,-592
3892,-3473,2019,423,-352,-68,3554,1959,128,-992,-270,-547
359,-3482,1210,1236,-665,-637,1727,1124,365,-902,-167,-473
-1432,-2279,604,1761,-845,-1046,323,747,450,-307,-103,-153
-3004,-234,131,2217,-990,-1358,-846,755,399,11,-122,221
-2741,936,-456,2295,-961,-1409,-1035,470,-155,15,-209,740
