-176,-16386,5278,188,-517,-1144,1033,12810,6928,296,-564,1320
-96,-14158,4991,156,-604,-2032,1074,11731,6599,394,-709,1784
-83,-12487,4882,57,-672,-2524,1141,10374,6181,530,-892,2297
128,-10508,4674,-137,-775,-3009,1180,9449,5948,649,-1019,2604
365,-9281,4424,-278,-846,-3270,1301,8607,5665,784,-1154,2858
776,-7739,4171,-433,-920,-3499,1522,7656,5215,909,-1333,3128
1106,-6802,3988,-578,-944,-3575,1715,6984,4843,912,-1449,3295
1479,-6135,3869,-741,-939,-3590,2021,6057,4279,816,-1570,3465
1996,-5468,3597,-856,-920,-3590,2262,5268,3968,732,-1640,3544
2357,-5020,3346,-845,-905,-3573,2471,4413,3645,710,-1727,3588
2744,-4468,3060,-748,-891,-3546,2627,3824,3212,712,-1794,3592
3028,-4034,2868,-678,-877,-3525,2916,3092,2661,677,-1877,3574
3478,-3518,2512,-561,-868,-3505,3162,2471,2255,622,-1918,3556
3723,-3069,2184,-454,-862,-3490,3469,1456,1661,620,-1937,3499
4005,-2525,1883,-378,-842,-3470,3768,977,1266,714,-1921,3418
4187,-2152,1634,-329,-818,-3467,3977,250,655,814,-1867,3290
4734,-1544,1168,-223,-780,-3452,4501,-117,142,822,-1796,3187
5134,-1072,907,-96,-744,-3406,4910,-820,-517,777,-1675,3040
5613,-305,656,2,-669,-3299,5331,-1474,-926,741,-1557,2899
6030,255,537,-63,-607,-3208,6045,-2234,-1692,684,-1374,2672
6680,805,381,-133,-525,-3098,6585,-2669,-2100,633,-1234,2481
7099,1381,258,-111,-474,-3026,7318,-3517,-2867,572,-1034,2221
7642,2376,-16,19,-407,-2905,7906,-4226,-3348,504,-873,2025
8164,3376,-175,121,-343,-2773,8579,-4963,-3796,404,-695,1791
8707,4456,-382,190,-269,-2601,9216,-6106,-4246,276,-441,1380
9265,6073,-549,236,-166,-2270,9521,-6892,-4408,232,-246,998
9308,7253,-506,198,-54,-1935,9701,-7894,-4483,191,34,436
9165,8618,-171,51,142,-1378,9704,-8349,-4319,187,254,-19
9021,9268,-2,-51,293,-877,9481,-8329,-3961,187,518,-659
8686,9979,354,-108,469,-121,9178,-7847,-3622,132,686,-1139
8384,10078,664,-158,591,500,8566,-6927,-3149,-21,875,-1732
7933,9497,928,-320,717,1323,8197,-6176,-2734,-153,1001,-2134
7614,8436,1032,-509,782,1887,7585,-5037,-2129,-254,1150,-2594
7225,6585,1028,-721,840,2491,6939,-4112,-1679,-271,1240,-2880
6912,5235,1008,-759,874,2829,6195,-2849,-1254,-301,1329,-3173
6353,4031,1080,-633,938,3179,5736,-2050,-921,-408,1393,-3339
5926,3410,1326,-523,1002,3411,5167,-1069,-438,-646,1497,-3515
5351,2263,1918,-516,1068,3714,4718,-490,75,-777,1569,-3630
4904,1493,2067,-624,1065,3909,4113,362,759,-763,1616,-3769
4427,426,2049,-676,1003,4102,3669,1097,1083,-713,1603,-3853
4086,-347,2240,-557,963,4222,3183,2122,1099,-825,1563,-3914
3687,-1146,2677,-377,948,4321,2961,2715,1446,-1055,1576,-3928
3116,-2185,2968,-287,898,4400,2613,3177,2024,-1213,1618,-3936
2711,-2874,2945,-213,820,4418,2024,3819,2608,-1122,1620,-3936
2283,-3737,2822,71,713,4424,1569,4645,2794,-972,1562,-3902
1980,-4372,3079,307,676,4402,1190,5857,2952,-1023,1472,-3802
1499,-5332,3440,426,656,4355,951,6627,3564,-1118,1440,-3701
1084,-6180,3527,456,624,4282,543,7513,4299,-959,1351,-3522
601,-7216,3629,595,560,4131,302,8545,4540,-724,1226,-3321
282,-7848,3785,666,514,3967,172,10019,4833,-622,1028,-2934
-185,-8833,4232,600,443,3683,179,10983,5079,-700,900,-2556
-578,-9674,4620,419,371,3436,118,11628,5615,-841,753,-1963
-948,-11281,4918,198,255,3017,42,11850,5956,-804,647,-1486
-1144,-12385,5175,122,150,2616,-20,12294,6465,-525,481,-833
-1074,-13695,5374,31,-11,1976,-50,12530,6744,-247,329,-348
-913,-14604,5478,-16,-139,1410,41,12804,6931,74,87,308
-704,-15393,5461,-65,-283,550,234,12684,6935,166,-94,824
-533,-15602,5304,-79,-379,-141,481,11951,6730,179,-313,1493
-287,-15342,5068,-88,-462,-830,685,11144,6521,212,-464,1935
46,-14590,4811,-116,-548,-1700,923,10052,6312,341,-664,2411
222,-13640,4645,-126,-612,-2273,1095,9316,6090,515,-828,2691
417,-12116,4363,-182,-688,-2895,1258,8650,5730,673,-990,2931
539,-10948,4101,-233,-745,-3266,1585,7811,5123,745,-1179,3218
747,-9542,3823,-263,-822,-3649,1818,7102,4732,678,-1292,3399
953,-8629,3617,-259,-878,-3873,2061,6109,4268,542,-1416,3575
1258,-7432,3357,-209,-956,-4101,2264,5418,3982,454,-1505,3651
1555,-6501,3122,-161,-1017,-4214,2439,4452,3564,372,-1623,3701
1963,-5268,2724,-140,-1078,-4274,2688,3836,3172,336,-1704,3702
2244,-4427,2515,-186,-1079,-4267,3138,3000,2605,236,-1777,3682
2656,-3511,2257,-299,-1039,-4226,3413,2239,2349,176,-1798,3639
3046,-3034,1932,-344,-983,-4181,3792,1177,1844,302,-1799,3506
3539,-2455,1737,-225,-900,-4089,4191,790,1600,486,-1769,3358
3873,-1772,1589,-109,-836,-4003,4701,442,1184,682,-1703,3144
4437,-928,1392,-54,-726,-3868,5070,137,746,720,-1634,2996
4861,-302,1279,-56,-626,-3760,5818,-216,106,616,-1524,2824
5277,336,1277,-55,-526,-3638,6103,-804,-198,506,-1417,2708
5828,1261,1192,-62,-402,-3436,6812,-1628,-693,474,-1254,2529
6194,2137,1292,-48,-322,-3261,7432,-2284,-1168,476,-1120,2350
6677,3711,1523,-25,-210,-2999,8096,-2926,-1696,490,-974,2125
7158,4903,1698,-20,-131,-2732,8736,-3758,-2098,507,-773,1787
7828,6118,1813,7,-70,-2265,9099,-4533,-2415,484,-616,1521
8077,7095,2013,11,-44,-1847,9518,-5559,-2686,432,-386,1129
8436,8135,2181,-40,-10,-1266,9764,-6215,-2818,373,-204,778
8730,8529,2043,-93,-3,-800,9707,-7007,-2865,306,42,224
8904,8701,1756,-141,12,-145,9620,-7157,-2817,300,214,-234
9056,8559,1509,-174,51,354,9374,-7014,-2724,252,438,-845
8969,8018,1149,-245,148,1018,9015,-6614,-2575,187,606,-1280
8778,7241,919,-321,247,1482,8426,-5708,-2303,77,822,-1806
8348,6231,802,-390,398,2020,7931,-5012,-1942,6,970,-2170
7923,5387,863,-422,516,2372,7186,-3946,-1366,-58,1149,-2593
7221,4347,1171,-430,657,2787,6610,-3155,-952,-108,1261,-2857
6596,3606,1332,-444,731,3057,5854,-2065,-536,-212,1391,-3147
6070,2956,1370,-452,782,3303,5383,-1311,-165,-313,1482,-3321
5387,1977,1567,-429,857,3608,4760,-422,508,-441,1579,-3513
4816,1286,1779,-403,925,3817,4314,317,869,-510,1625,-3636
3992,464,2066,-394,995,4067,3743,1204,1229,-572,1648,-3769
3427,-186,2110,-399,1016,4234,3344,1845,1410,-635,1645,-3835
2674,-1332,2436,-318,1019,4416,2982,2562,1819,-753,1648,-3871
2229,-2101,2804,-206,1015,4511,2539,3393,2427,-842,1648,-3881
1668,-3187,3022,-66,960,4570,2171,3946,2613,-857,1624,-3867
1344,-3948,3034,99,890,4563,1719,4791,2860,-893,1581,-3822
920,-5106,3308,396,815,4523,1388,5386,3267,-906,1551,-3774
542,-6042,3804,540,781,4459,975,6350,4002,-735,1479,-3687
131,-7222,4069,585,706,4304,671,7203,4408,-551,1384,-3588
-204,-8294,4399,545,624,4132,302,8458,4901,-336,1213,-3381
-607,-9969,4809,465,502,3836,107,9523,5380,-233,1071,-3153
-830,-11355,5204,404,394,3533,-102,10746,6030,-142,854,-2734
-1008,-13185,5670,306,221,2990,-168,11926,6482,-73,676,-2316
-1087,-14558,6023,291,66,2464,-309,13156,7066,15,405,-1649
-1115,-15349,6204,273,-92,1821,-321,13806,7153,91,177,-1077
-1084,-16082,6297,222,-321,820,-283,14124,7045,104,-130,-249
-950,-16088,6226,218,-504,15,-185,13718,6811,80,-333,381
-592,-15296,5944,286,-718,-1018,-59,12663,6412,170,-567,1145
-422,-14128,5710,352,-834,-1685,69,11820,6042,304,-724,1640
-238,-12352,5425,319,-950,-2383,239,10738,5505,503,-911,2203
-52,-10999,5244,189,-1034,-2778,450,9929,5107,610,-1036,2564
395,-9546,4961,-54,-1136,-3163,702,9191,4816,680,-1145,2869
769,-8585,4759,-250,-1199,-3379,1047,8190,4450,740,-1268,3189
