-3127,6574,-9407,-880,-459,2166,2383,-569,2307,-3506,-543,2687
-3015,7680,-9663,-2339,-268,2314,1896,-1364,1936,-3891,-515,2732
-2895,7014,-10172,-3729,-153,2414,1286,-2027,1472,-4333,-492,2726
-2862,5676,-10654,-4602,-96,2388,1092,-2563,837,-4685,-529,2703
-2473,4634,-10466,-4590,-47,2234,1017,-3149,-273,-5279,-640,2687
-2139,4851,-10121,-4007,10,2100,639,-3133,-1008,-5822,-723,2683
-1719,5837,-9854,-3364,62,1941,-455,-2457,-2453,-6977,-747,2706
-1420,6466,-9755,-3250,130,1844,-807,-2047,-4881,-8402,-674,2749
-941,6837,-9450,-3407,312,1717,447,-4706,-7033,-10069,-504,2576
-425,6657,-9240,-3563,500,1645,464,-7523,-6766,-9539,-498,2115
189,6429,-8596,-3491,740,1643,-371,-8461,-6333,-7504,-781,1687
323,6949,-7776,-3130,883,1623,500,-6252,-6644,-4664,-1326,1362
454,7656,-6730,-2562,992,1605,1219,-2964,-7200,-3769,-1469,1280
1102,8014,-5990,-2262,1056,1647,220,-1486,-8960,-4006,-1408,1439
1705,8306,-5158,-2175,1177,1725,-754,-2544,-9924,-4138,-1403,1673
1758,8650,-4526,-2393,1256,1792,-819,-4214,-10075,-3631,-1461,1905
1877,8677,-3831,-2985,1348,1878,-566,-5057,-10190,-2830,-1497,1896
2190,8629,-3493,-3495,1418,1951,-888,-4314,-10950,-1810,-1497,1767
2401,8322,-3003,-4247,1557,2065,-1376,-3265,-11426,-1643,-1404,1795
2062,7977,-2689,-4744,1621,2126,-1881,-2663,-11795,-2204,-1150,1937
2110,7521,-1741,-5210,1617,2207,-2014,-3627,-12154,-2582,-959,1960
2262,7056,-1183,-5468,1588,2303,-2305,-5150,-11784,-1828,-858,1883
2425,5364,-728,-5709,1490,2439,-2696,-4024,-11801,-663,-870,1866
2565,3851,-34,-5602,1398,2509,-2832,-1736,-11345,-88,-743,2038
2816,2472,927,-5163,1326,2456,-2763,-1706,-11040,-617,-559,2176
3000,1938,2181,-4369,1251,2303,-3198,-3344,-10548,-1287,-375,2162
3061,1737,2865,-3910,1188,2194,-3433,-4052,-10439,-1131,-354,2077
3018,975,3376,-3373,1117,2096,-2931,-4195,-9989,-394,-378,2055
2983,753,3756,-2892,1065,2025,-2584,-3876,-9885,-96,-366,2121
2803,937,4180,-2345,1037,1933,-3412,-3534,-10368,-516,-313,2126
2777,706,4353,-2032,1027,1888,-4263,-4034,-10582,-783,-259,2119
2513,924,4834,-1775,1020,1866,-5151,-4568,-10556,-425,-199,2123
2286,999,4953,-1781,1023,1874,-4735,-4745,-10204,-84,-118,2133
1850,564,5169,-1980,988,1878,-4933,-4794,-9847,146,-32,2038
1562,-168,5469,-2104,961,1910,-5120,-4199,-9768,229,32,1992
1124,-1934,5866,-2150,906,1972,-4581,-4997,-9194,295,144,2030
1073,-3708,6138,-1966,821,1950,-4141,-7132,-8203,607,254,2008
922,-5115,6518,-1422,703,1752,-4433,-7673,-8079,601,281,1812
618,-5423,7166,-1057,623,1500,-5031,-7765,-8027,261,309,1432
335,-6099,8265,-905,491,1200,-5206,-7953,-7993,176,362,1244
-65,-7046,8693,-922,327,998,-4863,-9471,-7169,367,473,1070
-468,-8198,8953,-817,46,686,-5264,-10224,-6750,560,496,801
-435,-8942,8942,-526,-132,441,-5232,-9419,-6422,539,470,365
-466,-9611,8787,121,-304,108,-5082,-9107,-6235,303,474,119
-522,-9219,8589,607,-419,-166,-4747,-9692,-5793,179,486,-135
-602,-8555,8367,886,-531,-451,-4715,-9964,-5600,351,452,-387
-432,-7626,8081,977,-664,-781,-4829,-9659,-5400,698,348,-746
