1989,-2532,981,1026,639,3945,1442,2755,-995,-639,-1254,-3408
1751,-2606,980,1166,526,3655,1497,3358,-1450,-1023,-1202,-2994
1470,-2783,673,1298,413,3378,1585,3441,-1424,-1209,-1054,-2811
1381,-2870,391,1404,413,3227,1240,3965,-1378,-1279,-892,-2658
1391,-3522,673,1463,614,3181,1084,4311,-1476,-1241,-816,-2576
1296,-4173,1427,1390,777,3201,1252,5870,-1519,-1249,-719,-2399
865,-5769,2069,1235,802,3085,1612,6915,-1615,-1236,-633,-2241
888,-7186,2313,1174,757,2912,1965,8272,-1953,-1262,-561,-1920
1122,-9348,2460,1255,694,2522,2361,9260,-2253,-1358,-465,-1644
1662,-10832,2905,1345,701,2194,2980,11214,-2072,-1262,-265,-1449
2270,-12111,3801,1281,739,1909,3459,13416,-2004,-921,-164,-1329
2768,-14061,5315,798,777,1660,4265,15992,-2511,-431,-188,-865
2892,-15990,6091,306,648,1387,4698,16552,-3201,-271,-193,-273
3224,-18104,6284,-155,300,697,4914,16015,-3542,-190,-96,264
3567,-18357,5931,-274,-46,-58,4834,14690,-3492,-40,125,759
3918,-16743,5179,-368,-419,-1058,4812,13622,-3239,129,241,1088
3910,-15242,4839,-496,-616,-1678,4886,12298,-3059,242,307,1573
3559,-13409,4471,-620,-910,-2428,4757,11107,-2841,142,352,1967
3124,-11734,4182,-629,-1201,-2955,4472,9273,-2468,-55,416,2458
2394,-9238,3703,-616,-1577,-3517,4231,7838,-2020,-54,459,2711
1947,-7396,3169,-618,-1799,-3805,3672,6323,-1126,266,488,2845
1772,-5244,2235,-658,-1969,-3984,3169,5723,-542,590,448,2890
1690,-4003,1642,-783,-1969,-3942,2742,5438,-143,787,363,3033
1569,-2982,1144,-1028,-1893,-3774,2515,5281,-70,685,308,3246
1788,-2467,609,-1217,-1818,-3632,2067,4728,-52,273,230,3663
2232,-2038,65,-1418,-1695,-3491,1794,3857,-111,-92,157,3998
2484,-1739,-216,-1493,-1603,-3447,1442,2456,-87,-332,63,4279
2453,-1470,-417,-1498,-1549,-3499,1130,2412,-71,-434,-30,4450
2435,-1009,-468,-1441,-1553,-3609,574,2504,34,-900,-255,4905
2366,-17,-687,-1396,-1584,-3725,-70,2041,-91,-1414,-503,5369
2259,457,-989,-1429,-1603,-3761,-897,835,-303,-2062,-831,5991
2022,861,-1338,-1480,-1639,-3852,-1210,-939,-916,-2260,-1060,6260
1755,862,-1430,-1483,-1688,-3981,-1371,-2980,-1665,-2103,-1313,6256
1138,1105,-1353,-1423,-1780,-4205,-1808,-4170,-2034,-1817,-1418,6026
706,1583,-1590,-1286,-1999,-4621,-2893,-5306,-2033,-1323,-1582,5620
