-11120,4651,851,-9082,2566,2565,142,621,-369,-334,238,-825
-10869,4217,874,-8933,2760,2471,80,735,-359,-342,216,-865
-10587,3826,962,-8435,2859,2239,31,750,-338,-372,172,-869
-10341,3467,1143,-8159,2766,1897,-13,709,-294,-347,120,-828
-10406,3071,1360,-8439,2610,1607,-34,655,-267,-218,55,-735
-11343,2933,1594,-9487,2536,1492,-65,663,-235,-59,34,-671
-13634,2642,2217,-11110,2517,1299,-93,832,-150,114,33,-657
-14691,2169,3042,-12326,2736,894,-128,843,-35,288,47,-710
-13475,1502,3675,-11535,2992,662,-140,628,-17,310,70,-744
-11657,1759,3560,-9191,3258,177,-134,407,15,229,91,-671
-9527,2890,3159,-7670,3101,-99,-116,323,68,179,91,-495
-8292,3910,2920,-6262,2534,-237,-108,254,131,276,89,-159
-7363,4846,3062,-5655,2064,-266,-132,214,106,521,113,86
-7305,4981,3342,-5342,1703,-135,-191,140,26,981,189,318
-7653,4604,3385,-5489,1649,24,-231,77,-33,1283,260,404
-7843,4345,3310,-5917,1791,288,-269,10,-93,1496,343,401
-8063,3949,3207,-6148,1916,435,-288,-28,-108,1481,372,311
-8021,3694,3087,-6330,2105,639,-306,-49,-89,1242,352,95
-7789,3324,2976,-6596,2265,716,-324,-67,-15,943,299,-121
-7651,3191,2773,-6816,2405,766,-318,-98,39,461,208,-438
-7691,3252,2396,-6787,2467,861,-291,-140,135,148,151,-649
-7703,3292,2198,-6836,2541,952,-271,-169,181,-130,123,-847
-7941,3293,2081,-6891,2615,997,-246,-194,188,-212,125,-922
-8334,3385,1876,-7037,2840,1089,-225,-193,183,-209,136,-915
-8924,3645,1475,-7103,3097,1328,-184,-180,132,-188,148,-827
-9256,3873,1127,-7123,3370,1569,-152,-152,69,-168,149,-610
-9480,4246,671,-7074,3423,1689,-94,-89,-16,-140,122,-390
-9403,4634,445,-6947,3277,1698,-32,-39,-49,-51,53,-66
-9065,5268,167,-6862,3225,1590,78,37,-119,30,-10,176
-8932,5781,-121,-6936,3051,1680,171,86,-182,100,-67,464
-9319,6187,-383,-7387,2825,1731,284,129,-259,135,-82,614
-10257,6216,-415,-8860,2658,1750,370,205,-299,224,-84,695
-11219,6085,-260,-10169,2789,1879,480,317,-431,268,-90,666
-11953,5553,168,-11312,3005,1874,530,385,-465,255,-93,570
-11927,5022,433,-11602,3508,1706,529,322,-403,85,-80,418
-11225,4406,499,-10573,3790,1893,490,206,-384,-145,-45,364
