661,5639,-797,623,-5,4302,77,-478,2,9,627,223
767,4728,-920,764,710,3699,-7,-181,51,516,152,338
262,4599,-840,789,736,2873,-78,162,81,429,-176,377
-856,4292,-987,632,217,2150,-114,295,-14,123,-460,432
-1167,4290,-759,459,-401,1833,-124,191,-142,-71,-538,414
-1668,3726,-389,366,-1048,912,-146,247,-199,-334,-428,187
-1681,3783,-432,522,-787,439,-105,500,-229,-409,-257,41
-1701,4454,-547,97,-94,272,-56,609,-279,-301,-33,36
-1465,4847,-555,-66,314,352,14,700,-338,-257,43,41
-1458,5178,-274,-154,489,404,31,785,-310,-305,-28,73
-1658,5665,-321,-165,489,353,-25,898,-139,-330,-138,118
-1839,5926,-355,-96,500,332,-92,813,70,-403,-258,187
-2881,6059,8,-762,316,511,-153,725,385,-408,-295,233
-5216,5465,822,-4621,577,1100,-97,945,486,-187,-279,267
-11337,3789,2328,-9221,1542,1718,-66,2146,646,-91,-181,220
-16422,3022,3024,-14737,2494,1910,-93,2071,1051,-225,-25,36
-20800,2703,3095,-18265,2685,2298,-794,-2828,3622,-417,-2,-115
-23280,2134,3251,-21376,3060,2758,-521,-414,1452,-554,24,-232
-24738,2275,3609,-23567,2781,3454,148,984,-583,-518,10,-292
-26634,2417,3637,-25190,2473,3074,-88,201,-261,-202,-40,-252
-26874,2346,3532,-25830,1928,2653,49,-453,-469,544,-101,-304
-27149,2746,3215,-25960,1722,2683,15,-870,-269,1392,-109,-203
-24544,2336,2668,-24152,2259,2478,-81,-1013,72,2391,-49,-186
-21069,2368,2194,-20752,3322,2221,-101,-1150,15,2644,45,-303
-14812,2933,1361,-15610,4500,2241,-122,-1136,21,2156,242,-476
-10743,3166,871,-10872,4914,2336,-119,-1221,147,1280,370,-506
-5137,4318,662,-4183,3847,1682,-99,-1381,-21,53,372,-210
-1936,4650,-136,-1017,2077,1830,12,-1363,-186,-450,384,-59
-951,2635,458,863,-470,3148,133,-1386,-474,367,56,94
150,3704,-160,2341,818,2945,205,-933,-214,1079,-221,103
