-266,5576,815,-78,-1125,1918,-111,-11,375,688,-252,396
1161,5450,148,1940,-1122,1409,-74,182,281,599,-179,282
491,5219,-99,1787,-1051,1313,-48,430,290,452,-70,218
-278,5071,68,919,-943,1297,-45,515,126,88,15,128
-867,5319,100,460,-1185,1106,-29,585,-45,-229,25,25
-1059,5536,-322,87,-1426,849,-27,571,-139,-380,-26,-222
-1435,5329,-579,-200,-970,800,0,500,-136,-323,-81,-419
-1624,4949,-598,-271,-174,679,19,343,-60,-242,-145,-587
-1444,4464,-596,-223,215,460,27,169,-21,-204,-184,-610
-1446,4507,-849,26,425,211,33,-111,3,-157,-212,-525
-1521,4452,-1107,198,495,94,9,-175,56,-130,-198,-399
-1287,4509,-1133,280,494,57,-17,-138,150,-145,-161,-268
-922,4687,-1032,338,227,32,-59,205,124,-227,-126,-154
-684,5041,-863,547,-111,151,-74,430,127,-299,-114,-115
-536,5801,-475,572,-475,338,-55,592,153,-360,-106,-113
-842,6335,-167,325,-726,582,-33,812,211,-341,-117,-147
-5014,7094,237,-3746,-677,1281,57,1059,149,-43,-167,-250
-7841,7163,745,-7264,-159,1997,108,739,-61,341,-251,-379
-12484,6886,1375,-12219,708,1935,43,-1278,-734,923,-360,-581
-17557,7004,1555,-15338,2089,2316,-6,-1628,-727,1299,-396,-679
-22644,7080,2743,-18703,4886,3572,55,171,-194,1190,-284,-602
-24062,7667,2562,-20930,6189,3634,49,951,154,489,-146,-355
-24495,9035,1961,-23112,4297,2621,9,352,97,-374,-112,183
-26732,9140,2358,-25267,3038,2973,-32,-168,10,-240,-149,546
-30452,7464,4105,-27266,3236,3714,-23,-530,-22,314,-36,803
-30182,6476,4808,-25699,3576,3914,14,-764,-78,262,127,886
-26263,6890,4321,-22172,2543,3715,80,-966,60,-202,233,868
-20679,8307,3189,-19566,1365,3574,94,-1010,109,-318,191,770
-17017,9287,2649,-16391,489,3370,54,-935,176,-10,86,629
-13631,9401,2803,-13408,350,3171,40,-838,139,294,40,565
-11280,8358,2922,-8883,283,3115,69,-619,147,457,55,512
-6947,6409,2550,-5027,-85,2919,87,-448,179,383,86,491
-3141,5624,1541,-85,-744,2518,105,-209,211,154,120,496
1076,5765,-37,2441,-1116,2153,141,-92,117,-20,144,488
1703,6055,-686,2935,-1458,2066,149,76,26,-163,160,449
876,6790,-536,1626,-1640,1908,82,434,59,-291,143,305
49,6856,-207,460,-1787,1673,25,619,68,-325,70,123
-1043,6342,-354,-269,-1685,1081,-37,487,-76,-198,-84,-199
-1989,5896,-754,-339,-1190,512,-60,324,-88,0,-198,-441
-2573,5315,-1368,-47,-418,-53,-77,179,-96,264,-303,-644
-2475,5031,-1742,53,181,-359,-97,214,-70,413,-318,-670
-2082,4909,-1845,28,701,-487,-113,252,46,502,-271,-571
-1802,5061,-1707,-4,926,-607,-122,234,71,466,-215,-451
-1306,5207,-1314,204,751,-763,-162,226,85,361,-158,-295
-1009,5315,-1094,438,379,-803,-201,211,104,309,-123,-193
-857,5799,-699,690,-249,-741,-196,256,63,353,-61,-94
-746,6285,-347,679,-611,-480,-169,334,21,478,-5,-83
-1109,7197,79,178,-602,17,-112,501,-17,613,64,-155
-2793,7699,378,-2112,-199,438,-54,655,-31,643,91,-263
-6346,7771,1162,-6219,183,1611,57,421,-275,813,49,-478
-8981,7604,1501,-8294,1039,2113,99,-623,-706,966,1,-622
-13789,7372,1443,-11489,2215,2593,13,-1579,-845,1122,-41,-720
-17335,7182,1735,-14409,3639,3196,25,-726,-616,1133,-43,-691
-21623,7074,2627,-20158,5565,4074,14,970,-93,848,19,-479
-23806,7063,3109,-21861,5949,4256,54,1117,-62,367,61,-182
-21649,7455,2152,-21741,3901,3160,41,661,-238,-51,36,261
-23900,7767,1949,-23474,3006,3368,37,216,-194,115,18,407
-27232,6889,3074,-25712,3753,4153,103,126,-227,287,109,405
-30209,5329,4679,-26555,5356,4607,169,-446,-283,-266,318,333
-27737,5070,4537,-24477,4865,4062,202,-766,-234,-992,346,318
-22544,6233,3229,-20401,3085,3245,193,-856,-221,-1295,203,371
-19025,7600,2508,-17655,1917,2832,151,-833,-190,-970,79,435
-15730,8612,2323,-14342,1210,2414,93,-629,-118,-249,18,478
-13556,7886,2603,-11591,1226,2305,88,-405,-29,121,28,439
-9065,5939,2462,-6549,1207,2072,93,-97,25,80,93,371
-4618,4975,1603,-2202,684,1799,91,73,77,-249,134,358
755,5189,237,1969,-389,1115,92,59,18,-726,157,358
2506,5793,-252,2982,-1186,951,70,78,-84,-938,167,324
1960,6467,-38,2319,-1985,717,29,223,-177,-1003,159,209
1040,7042,200,1551,-2087,565,-20,509,-281,-927,125,76
-183,7389,113,183,-1989,415,-24,752,-396,-615,20,-130
-999,7293,-167,-402,-1562,13,-2,736,-249,-268,-105,-265
-1572,6950,-614,-378,-849,-486,-37,505,-35,155,-267,-348
-1670,6442,-969,-127,-332,-845,-73,188,46,330,-317,-320
-1843,5593,-1323,-26,52,-949,-67,-158,182,332,-255,-193
-2003,5066,-1353,35,13,-712,-64,-372,254,215,-150,-92
-1634,4677,-1195,290,-290,-319,-89,-353,298,85,-15,16
-1119,4636,-947,441,-505,117,-121,-147,258,87,27,42
-746,4588,-663,385,-567,772,-135,95,202,164,1,13
-638,4881,-409,188,-445,1136,-107,268,185,228,-57,-37
-652,5365,-96,-115,-340,1448,-79,378,169,271,-139,-104
-1342,5996,265,-890,-143,1562,-33,509,144,385,-284,-194
-2741,6280,477,-2454,268,1540,14,590,132,540,-386,-259
-5941,6561,882,-5958,710,1520,85,583,48,823,-454,-349
-8711,6481,1032,-8764,1344,1335,85,-223,-329,1048,-437,-421
-13818,6121,1214,-13063,3067,2039,97,-2716,-846,1200,-250,-497
-17759,5794,1743,-16686,4744,2812,68,-886,-381,1046,-12,-488
-21077,4705,3276,-21270,6639,3456,375,715,-34,341,276,-289
-24198,4636,3612,-22024,6330,3335,357,978,87,-419,373,-25
-29018,6379,2464,-23559,3601,3103,204,412,-247,-784,377,288
-32751,7159,2640,-26079,3205,3610,191,499,-199,-514,426,257
-32768,5514,4232,-27818,5424,4519,51,279,-334,-621,611,-65
-30985,4437,5274,-26207,6517,4411,-58,-260,-344,-1294,726,-257
-24747,4705,5078,-21577,5630,3884,-45,-1038,-311,-2026,647,-219
-20196,5916,4572,-17791,4129,3578,42,-1293,-237,-1974,486,14
-14539,7845,4076,-13435,2380,3563,96,-1291,-3,-1180,290,353
-10982,9370,3186,-10105,1429,3380,91,-1079,201,-396,181,527
-6809,9955,2496,-5133,-3,2888,59,-719,280,486,47,664
-2474,9163,1953,-1456,-913,2491,19,-329,355,966,-50,678
2684,6601,507,2638,-1138,1734,-8,35,318,1194,-117,557
3578,6124,-780,3558,-1051,1372,-35,540,219,1066,-96,396
1732,5631,-1080,2152,-871,1282,-105,985,276,624,-12,127
-487,5006,-390,456,-517,1232,-165,1034,112,234,41,-62
-2260,4775,140,-993,-32,1006,-163,920,7,-101,42,-238
-2706,5112,-60,-1756,131,446,-150,412,-40,-330,-60,-401
-2422,5479,-611,-1236,116,-62,-145,335,89,-240,-145,-409
-1880,5755,-1130,-342,145,-629,-132,242,214,93,-168,-296
-1632,6119,-1429,279,144,-730,-88,141,198,308,-105,-158
-1069,6335,-1440,614,184,-616,-45,25,93,387,52,6
-632,6153,-1275,674,69,-364,-63,185,146,241,154,63
-439,5704,-869,612,-284,39,-51,404,114,-114,214,46
-476,5559,-717,504,-466,173,-9,566,68,-404,215,-20
-694,5512,-424,210,-694,509,38,683,17,-685,183,-150
-1005,5565,-307,107,-681,677,87,783,-5,-757,157,-222
-1597,6083,36,-388,-587,684,132,962,34,-738,113,-237
-3801,6600,339,-2701,-468,853,151,967,56,-579,62,-233
-7382,7111,580,-7311,86,1804,156,246,-146,-92,-65,-317
-10250,7005,1260,-10322,973,2142,114,-1287,-513,326,-179,-392
-16011,6421,1758,-14131,2721,2151,77,-1546,-588,774,-304,-413
-20362,6186,2135,-17354,4356,2802,25,-11,-105,919,-328,-324
-24158,5974,3331,-20965,6197,3459,57,849,66,658,-291,-6
-24141,6893,2488,-21972,5616,2904,124,527,105,314,-302,358
-25115,8021,1686,-23983,3605,2147,67,-4,79,547,-362,748
-28550,7509,2434,-26787,3765,2665,15,-173,38,1046,-313,861
-31443,5530,4047,-27899,4778,3301,-30,-451,-68,1042,-130,838
-29284,4548,4594,-25070,4712,3183,-11,-847,-105,167,80,684
-24361,5581,3300,-21885,3533,2722,6,-937,-74,-365,56,546
-20527,7216,2581,-18304,2262,2192,4,-863,6,-371,-71,436
-16027,8932,2329,-16026,1977,1995,-6,-733,106,-54,-100,411
-13204,8994,2589,-12448,2203,1876,-10,-508,156,158,-22,411
-8582,7885,2567,-8924,2035,1827,-8,-298,228,-61,74,431
-4691,7206,1815,-2755,929,1652,-9,-59,278,-698,191,515
-460,7088,840,1903,-654,1336,-3,-89,233,-1147,247,623
3153,6362,-988,3776,-2410,808,1,-4,160,-1312,263,673
2643,6963,-1076,2555,-3386,965,-14,-7,300,-1060,226,571
780,6689,-648,463,-3239,1271,-53,474,46,-553,95,299
-390,6814,-336,-864,-2650,1150,-18,665,3,-220,-60,21
-1338,6665,-618,-1402,-1818,677,24,542,-19,229,-320,-362
-1702,6499,-1063,-859,-1008,130,32,398,25,563,-478,-533
-1642,6202,-1669,-372,-63,-458,63,72,124,856,-553,-575
-1551,5961,-1925,-433,542,-639,107,-191,183,866,-512,-520
-1612,5639,-2012,-498,799,-599,144,-334,238,589,-378,-392
-1503,5369,-1714,-307,455,-705,133,-300,246,303,-275,-286
-976,5079,-1486,243,-379,-622,93,-118,262,55,-165,-204
-770,5005,-1365,645,-870,-391,52,167,242,-20,-101,-202
-792,5298,-899,926,-1245,-67,42,346,220,-85,-40,-276
-1028,5782,-438,926,-1583,19,40,587,203,-91,-35,-393
-1542,6462,199,980,-1819,-17,30,825,186,15,-49,-524
-2440,6955,520,-412,-1653,77,9,1148,100,268,-31,-688
-5783,7786,1202,-3434,-1380,622,4,1221,-72,553,3,-840
-8805,8164,1394,-7349,-362,1356,-21,437,-659,1007,39,-1077
-13839,7867,1943,-11093,1298,2226,-61,-1342,-1516,1273,74,-1255
-19145,7343,2654,-16708,5292,4020,98,-1653,-1576,1091,123,-1355
-26298,6290,4527,-21447,7991,4766,82,769,-211,367,127,-1187
-26661,5418,4954,-23206,7471,5088,-60,1398,48,-822,40,-644
-25312,5956,3449,-22492,4181,4384,-210,698,-112,-833,-52,-141
-29134,6590,3428,-27182,4003,4839,-180,-96,65,431,-58,339
-32768,6010,4251,-30623,6098,5276,-162,-431,221,854,24,596
-31599,6157,4468,-28614,5593,4892,-150,-942,309,373,120,889
-26002,6686,3722,-23743,3655,4056,-101,-1263,260,71,83,1006
-20325,7919,2251,-18861,994,2794,-79,-1131,315,135,-2,1036
-17700,8758,1752,-16478,11,2539,-78,-903,291,416,10,929
-14408,8588,1388,-12390,-425,2781,-76,-503,281,559,137,644
-10138,7287,917,-8222,-1244,2440,-71,-207,147,439,202,419
-2607,4943,-1551,-878,-1554,1191,-39,-69,13,109,175,106
2357,3313,-2466,3697,-1497,631,17,-221,-208,-333,187,-76
3826,2668,-2069,4527,-2154,239,47,-139,-342,-827,249,-190
2611,4016,-1358,2332,-2617,81,-13,109,-393,-806,227,-274
191,6189,-299,-520,-2268,27,-46,763,-399,-179,93,-494
-3052,7086,93,-1662,433,244,-71,717,101,849,-54,-735
-3099,6731,-640,-556,2364,306,-59,-123,99,749,-25,-654
-2609,5906,-995,-233,2940,387,1,-518,112,299,39,-477
-2609,5906,-995,-233,2940,387,1,-518,112,299,39,-477
-1937,5280,-673,277,2407,617,-9,-692,188,-389,117,-176
-1081,4993,-242,553,1265,452,-67,-647,280,-649,140,26
-537,5195,-133,860,-112,346,-203,-719,293,-504,111,184
-393,5610,-529,943,-624,317,-264,-244,303,-194,71,210
-430,6332,-513,777,-843,381,-217,366,189,200,18,157
-520,6995,-203,504,-780,491,-199,665,260,403,-23,78
-669,7111,-9,122,-524,820,-137,972,245,529,-72,-36
-944,6972,134,-79,-332,900,-94,988,188,529,-102,-97
-1213,6787,115,-583,-235,1021,-13,909,84,474,-141,-148
-4214,6617,400,-2601,-111,974,70,877,32,516,-151,-200
-8151,6429,1013,-7922,658,2041,173,351,-256,876,-145,-330
-10667,5946,1436,-10387,2352,2450,167,-1737,-804,1057,-137,-389
-15060,5579,2585,-14883,4456,2816,98,-1368,-516,980,-101,-341
-17987,5090,3564,-17786,6176,3411,151,262,-94,616,-41,-204
-21782,4259,4538,-20913,6478,3415,136,1268,-142,-312,119,214
-25421,4713,3849,-23237,4623,2438,226,694,-405,-843,216,571
-32768,7275,3329,-29282,3440,2535,293,-9,-457,-754,320,693
-32768,8824,3873,-32768,4443,2962,313,-569,-224,-596,382,509
-32768,10886,4219,-29671,5434,3268,264,-1016,-139,-800,353,252
-26892,11159,3621,-24312,4457,2585,82,-1465,-103,-867,204,203
-21680,9515,3153,-20300,3196,2181,-38,-1442,-72,-409,0,247
-18265,8262,2714,-15709,3054,2026,-94,-1188,51,543,-168,316
-12943,6272,2760,-12110,3598,2115,-88,-939,63,836,-198,338
-8416,5166,2860,-6415,3256,1816,-35,-542,148,588,-170,366
-1846,5107,1756,-1604,2201,1341,-20,-286,127,235,-131,427
2849,5950,316,3912,398,664,-43,-121,98,-158,-37,554
4309,6931,-519,4882,-793,743,-50,135,53,-303,70,578
1840,7220,-15,1589,-1795,1560,-51,702,166,-195,138,357
-1530,6786,786,-1222,-1457,1817,-39,1011,95,70,54,48
-2785,6038,893,-2651,246,1444,-11,767,96,379,-152,-373
-2974,4788,107,-1790,1633,932,1,271,101,341,-272,-508
-2485,4255,-700,-573,2426,518,100,-130,46,-55,-261,-372
-2250,3849,-1216,-25,2279,493,144,-211,73,-497,-146,-111
-1850,3822,-1280,232,1199,454,154,-100,21,-1003,47,287
-1231,3662,-815,226,-10,457,131,97,56,-1142,140,496
-1053,3551,-648,170,-1233,591,61,386,151,-1015,157,567
-739,4909,-1003,183,-1432,825,30,622,191,-853,134,463
-250,6569,-1141,436,-1207,1379,46,592,165,-725,77,213
14,7632,-1155,634,-1222,1637,32,677,147,-675,-1,50
17,8359,-1312,287,-969,1153,83,801,200,-589,-177,-118
-37,8418,-1320,66,-886,1107,123,931,282,-528,-315,-200
-104,8145,-1310,-307,-976,977,169,937,325,-386,-420,-224
-352,8072,-1194,-1082,-1130,814,199,984,398,-156,-456,-206
-5722,8189,-476,-5161,-1143,814,232,1192,401,327,-494,-235
-12259,7819,564,-11615,-116,642,211,-703,-341,1045,-549,-442
-20993,7761,3140,-16411,1448,1252,187,-1718,-710,1338,-471,-611
