-16071,4572,2561,-16845,-343,2718,252,409,1,-611,3193,-6492
-18094,3896,-210,-19151,5180,6241,167,707,175,-2009,3989,-6976
-21141,4125,-1780,-22687,11278,10410,43,872,256,-3194,4338,-6691
-22936,2284,-3111,-23349,13478,10558,-83,1025,202,-3595,4293,-6377
-22381,-2270,-5083,-22668,9861,8028,-138,943,184,-2848,3368,-5869
-20615,-3569,-5749,-19490,8527,7852,-110,800,32,-647,2502,-5771
-18187,-1838,-6276,-16702,10347,4647,-24,648,-183,2341,1467,-6291
-17353,-944,-7420,-15303,12881,2575,23,369,-230,2922,894,-6628
-16999,-463,-8960,-13636,14749,1575,105,167,-155,2060,725,-6765
-17343,-307,-9314,-13126,14841,249,161,152,60,-335,1040,-6904
-17549,-850,-8629,-13357,13321,-441,114,252,201,-1347,1365,-7017
-17434,-1493,-8159,-13739,12298,-1242,-46,448,149,-978,1655,-7177
-16904,-2159,-8851,-12976,11867,-2646,-169,511,72,-141,1892,-7271
-15282,-3451,-8967,-10784,11943,-4246,-242,458,-107,636,2371,-7178
-13141,-5392,-7879,-9061,13287,-4241,-195,388,-211,579,2991,-6916
-12791,-5822,-6422,-9485,17188,-2259,-62,333,-228,-411,4203,-6334
-14504,-5119,-5265,-11796,18893,192,-71,363,71,-1551,5089,-5756
-15865,-4932,-4875,-17338,19434,4455,-221,-129,268,-2117,5819,-4941
-18600,-7911,-5152,-19609,20455,6604,-527,-1104,140,-1428,5900,-4438
-24431,-15164,-858,-20422,21506,6713,-499,-399,-699,-185,5643,-3909
-30284,-24251,4987,-21694,21437,8220,-331,469,130,1115,5589,-3652
-32768,-24421,5824,-24051,26121,17719,-123,365,554,1886,6091,-3529
-32768,-20486,3719,-22346,31421,24555,-21,-8,433,-29,6669,-2987
-32768,-14859,5120,-24270,27046,22025,-140,-217,-50,-4096,6650,-1822
-31875,-16207,17798,-26494,19994,19032,-135,-459,-212,-4713,6054,-1275
-28230,-11730,24178,-29573,20334,21885,-77,-488,-266,-3013,4819,-717
-25744,-6506,23205,-24521,19306,32767,-23,-818,-223,-3677,4314,224
-23173,-2596,22279,-24773,5691,30647,45,-839,-95,-4305,2459,1013
-21624,-8405,23872,-20223,-16,26545,51,-842,179,-2973,-14,188
-15525,-7652,23990,-13531,2330,23623,-3,-791,377,-1364,-1819,-240
-11111,-6593,21492,-8827,6908,23311,-71,-570,346,416,-3168,-105
-8035,-8364,20618,-5355,10327,22288,-57,-305,423,554,-3695,44
-8918,-8528,18708,-4030,9708,18502,22,-30,329,-332,-4106,517
-12626,-5649,14934,-7242,10207,15063,58,85,120,-687,-4573,742
-15878,-2772,12230,-12268,13419,10395,33,188,-98,-613,-5216,1553
-18468,293,9081,-15521,13674,8128,-48,230,-173,-349,-5751,2202
-19441,1060,6734,-18313,12760,5452,-105,433,-239,581,-6254,3197
-20873,-142,2752,-19363,12857,3295,-101,405,-334,1332,-6406,4009
-22060,-1399,125,-20270,13914,1150,-95,420,-285,1409,-6263,4999
-22930,-2800,-1857,-21189,13991,126,-117,301,-32,708,-5906,5597
-24095,-3061,-2774,-21749,13116,-173,-142,201,159,-209,-5369,6053
-25863,-3317,-2802,-22537,12748,-102,-128,52,223,-587,-5013,6205
-27343,-2794,-2883,-24379,12988,-79,-129,-89,153,-1006,-4690,6415
-28811,-2342,-3474,-25544,12872,-417,-124,-145,-4,-1272,-4680,6632
-29422,-2295,-3300,-25567,12422,-14,-96,-175,-125,-1320,-4757,6822
-29724,-2851,-3110,-25657,11892,516,-15,-263,-214,-1244,-4793,6895
