-11478,6022,5343,-10470,5763,3833,71,374,-184,2715,-1016,-1277
-13782,4711,6793,-13969,7916,5205,85,118,-364,3038,-1539,-887
-17275,2773,9596,-15904,10940,6168,102,119,-249,3587,-2285,-241
-19831,582,13528,-17682,13551,8063,122,-32,-154,4366,-3092,289
-21371,-1711,19339,-17805,16471,9754,108,-123,-174,4995,-3426,794
-22612,-3070,22978,-18515,20983,11305,-7,-177,-65,6132,-3479,1911
-26031,-5600,23793,-20022,25167,11181,-96,-307,-36,6332,-3409,2920
-28730,-7667,23602,-21699,29830,8985,-138,-612,-76,4521,-3638,4191
-29257,-8536,21773,-23366,31730,7299,-160,-707,20,2032,-3917,4858
-27807,-6464,18872,-24296,27207,4648,-173,-720,136,-1073,-4218,5384
-24744,-4043,15512,-23097,21923,475,-171,-675,161,-1924,-4663,5592
-22387,-5070,12491,-19306,18802,-2385,-176,-619,165,-771,-4746,5723
-20361,-8414,8195,-17616,19962,-2610,-212,-557,159,383,-4329,5974
-18288,-12823,3070,-16313,20432,-3306,-272,-560,172,499,-3568,6685
-16977,-12707,719,-16739,18357,-4686,-268,-669,340,-299,-3093,7389
-17706,-10134,-1590,-17855,14603,-6148,-246,-674,194,-1605,-2792,7993
-18569,-7903,-2789,-18408,11312,-6368,-177,-131,211,-2282,-2695,8118
-18875,-4731,-3295,-18635,8246,-5465,-113,-60,246,-2253,-2576,8011
-19831,-3824,-3024,-18512,7047,-4713,48,80,268,-1658,-2436,7867
-21114,-3985,-2875,-18942,8531,-4430,208,321,149,-906,-2247,7613
-22109,-4964,-2582,-19565,10106,-4455,239,-18,-60,-693,-2073,7483
-23333,-5488,-1878,-20056,11207,-4562,268,-138,-161,-848,-1909,7425
-24432,-5602,-1200,-20988,11882,-4263,266,11,-111,-1174,-1718,7420
-25825,-5351,-448,-21822,11968,-4388,154,-65,-107,-1335,-1564,7489
-26211,-4291,-146,-22233,11483,-4141,84,-216,-90,-1308,-1261,7606
-25402,-865,-770,-20887,9844,-3250,31,-450,35,-1079,-941,7670
-23635,3099,-2173,-20029,6517,-1717,82,-287,0,-470,-525,7801
-19621,9769,-3643,-19755,2442,-1038,94,-229,-216,153,-244,7857
-16922,15512,-5963,-17240,-6574,-457,236,283,-95,680,-9,7634
-13789,25138,-8092,-18469,-16547,-1209,290,744,-60,608,132,7165
-15735,32767,-7106,-19853,-31502,-1968,-46,14,124,-2414,344,6364
-15122,32767,-8659,-17515,-32768,-4161,-253,-1164,-392,-4665,524,4674
-10333,32767,-10650,-10811,-32768,-8236,-88,-309,-1051,-4560,856,353
-9893,32767,-11099,-12510,-32768,-8414,-15,31,-459,-2734,1738,-3037
-11664,32767,-8852,-15881,-32768,-5295,174,165,-273,192,2922,-6298
-15996,32767,-5518,-17458,-29210,-3265,171,125,-117,1327,3387,-8060
-19853,23227,-4232,-21284,-13487,-3503,37,205,240,1290,3334,-9787
-26760,8857,-3056,-24993,-4176,-4094,-39,109,198,839,3190,-10569
-29210,545,-2441,-28868,6706,-4336,-130,202,411,-195,2982,-10986
-28317,-1144,-1327,-32105,12602,-5192,-305,234,652,-986,3227,-11237
-30875,-4851,-1608,-32456,16253,-5432,-361,322,607,-1333,4123,-11343
-32768,-13329,-1598,-32768,20958,-5701,-360,314,567,-1233,4726,-10768
-32428,-16702,-1803,-32768,24255,-4127,-382,412,724,211,5437,-9328
-29014,-14539,-2189,-30682,23968,-3308,-390,609,693,959,5835,-8017
-25838,-10607,-2013,-26331,20747,-2151,-378,787,649,896,5969,-6448
-24049,-8473,-2458,-23525,16744,-2333,-332,1003,347,632,5873,-5844
-21922,-8608,-2378,-21471,12867,-2442,-252,1207,-128,731,5679,-5575
-20626,-7388,-2638,-19537,9598,-1304,-86,685,-476,1573,5345,-5374
-19775,-4979,-3422,-18292,9410,-50,-15,335,-544,2093,5075,-5272
-18582,-3050,-3265,-16182,7376,552,107,249,-311,2297,4578,-5281
-18848,177,-999,-15582,5107,659,139,284,-88,2861,4077,-5411
-19418,2109,630,-15835,5927,1159,172,287,-200,3771,3369,-5763
-19986,4367,2689,-16612,10043,1477,196,161,-578,4290,2960,-6107
-23273,1661,5996,-18707,18156,2954,134,-145,-655,3680,2466,-5934
-27923,-6204,14354,-23724,23018,5403,145,-628,-656,2595,2108,-5134
-28033,-9850,22473,-27472,29301,9483,334,-605,-808,1780,1592,-3760
-32306,-16701,32767,-27864,32767,13635,419,323,-438,1568,1559,-2729
-30797,-19901,32767,-19542,32767,25742,355,125,-259,315,2286,-1151
-32768,-2581,32767,-19965,32767,31506,377,-44,47,-2731,2852,1112
-32768,24534,32767,-30362,32767,24138,143,-281,-49,-5568,876,4131
-32768,11939,25747,-31786,23138,17905,112,-520,13,-5241,-2079,4513
-32768,2346,19946,-32261,15879,14125,98,-817,-6,-467,-4208,3868
-26594,-8034,12404,-26511,17224,9353,47,-909,0,3099,-4799,4129
-21788,-12623,9043,-20572,17697,2447,-6,-851,18,5870,-4328,5098
-18546,-11972,6881,-16577,20231,-873,-44,-612,150,6147,-3623,5867
-16509,-7557,5944,-14159,19669,-1745,-79,-597,235,4222,-2300,6787
-16043,-4126,4475,-14226,16913,-2026,-112,-521,123,1993,-1444,7473
-16528,-2516,2925,-15382,11632,-2717,-102,-496,-31,-464,-857,8067
-18065,-2294,1157,-16792,9025,-3424,-52,-366,2,-1460,-763,8186
-19576,-2285,-23,-17669,6616,-4047,-22,-154,-28,-1667,-798,8131
-20763,-2511,-1020,-18369,6364,-4267,43,-37,-171,-1277,-879,7872
-21668,-3210,-1929,-18295,6932,-4441,118,117,-361,-879,-801,7698
-21939,-3195,-2310,-18799,9092,-4376,111,148,-308,-754,-577,7478
-22606,-2876,-1950,-19352,10693,-4270,33,-7,-180,-1071,-428,7345
-23438,-3625,-1512,-20499,11587,-3934,-45,-287,-9,-1384,-412,7314
-24539,-5727,-1184,-21221,12233,-3940,5,-385,-17,-1526,-531,7394
-26257,-7758,-539,-21665,12414,-3518,52,-533,-25,-1451,-703,7542
-28527,-8095,-536,-21943,12770,-2989,64,-304,35,-1265,-751,7652
-28152,-6434,-947,-21410,12021,-2483,85,-57,119,-1094,-729,7836
-27472,-4095,-993,-21001,11339,-1827,114,32,86,-848,-692,7988
-25902,-576,-1873,-21471,10059,-1332,159,57,-106,-522,-790,8259
-22737,4086,-3246,-21364,7315,-740,123,267,-294,-26,-897,8481
-20750,9454,-4164,-19918,1146,-241,-90,200,-478,1035,-820,8798
-18584,24356,-9386,-20544,-6953,641,-195,-77,-742,1775,-394,8960
-12987,32767,-13866,-22201,-29484,480,44,415,-975,793,230,8925
-6233,32767,-12360,-16728,-32768,-56,141,343,-511,-1664,477,7952
-9313,32767,-10512,-12943,-32768,-2301,155,0,62,-3756,556,3622
-7156,32767,-9954,-12404,-32768,-4201,200,-470,-316,-2730,869,-324
-8526,32767,-9329,-15538,-32768,-2747,21,-494,-255,-1288,2045,-5468
-15433,32767,-5208,-20656,-32768,-730,-57,-71,-95,-393,2764,-8465
-20362,32767,-3141,-29414,-22471,-255,-118,-21,-119,1363,3106,-11196
-26987,14935,-2871,-32518,-4862,-2090,-123,82,11,2649,2780,-12246
-30517,4035,-2194,-32768,16529,-2778,-185,227,212,2608,1549,-11658
-27343,-3263,-1844,-32549,17937,-2063,-118,303,305,127,1529,-10661
-25047,-2939,-2980,-30088,16439,-3678,-94,343,301,-2509,2137,-10265
-28971,-8192,-2933,-28852,16528,-4185,-58,298,402,-3861,3321,-9808
-28747,-7424,-2043,-27838,16426,-3483,-49,472,432,-3681,4277,-9409
-25031,-2990,-1538,-26401,14550,-1887,-16,771,480,-1907,5107,-8461
-23907,-1177,-2361,-24085,13849,-1450,-9,1154,634,-819,5359,-7542
-23600,-295,-2863,-21371,12353,-1231,-35,959,499,-325,5319,-6609
-24714,-1002,-2586,-18983,12341,-793,-110,801,358,-599,5377,-6160
-25756,-1187,-1921,-16347,11198,793,-108,624,60,-1516,5819,-5635
-26863,-2710,-1972,-16011,10604,1069,-130,488,-75,-2289,6140,-5187
-25052,-3467,-2231,-16328,7753,820,-186,374,-102,-2766,6126,-4495
-21812,-3087,-2251,-16764,5745,773,-220,285,205,-2431,5745,-3999
-19529,-2696,-2318,-16649,3209,804,-231,261,311,-889,5048,-3552
-16964,-2001,-3417,-16531,3496,1659,-199,102,200,703,4601,-3415
-16874,-3273,-3806,-16333,6102,2074,-92,87,42,2303,4200,-3375
-18111,-6111,-2094,-18451,8737,2291,-37,460,107,2925,3962,-3292
-20784,-5946,-1204,-19187,12716,3493,30,471,-264,2948,3859,-2970
-24179,-6458,723,-22196,13879,4901,109,-383,-696,2871,3731,-2362
-27059,-9703,8003,-24891,15262,6814,295,318,-624,3345,3544,-1731
-32768,-14352,18850,-26668,19617,11077,508,636,-415,3775,3436,-1446
-32768,-19532,28278,-32709,32655,22102,688,652,-453,2698,3490,-863
-32768,-19426,32767,-31042,32767,28515,509,50,-115,-94,3191,156
-32768,-12029,32767,-26976,32767,32767,331,-108,-222,-4289,2273,1448
-32768,11282,32767,-27251,31141,32767,206,-513,-153,-6077,1092,1965
-32768,20577,32767,-28324,14583,31841,203,-981,-131,-4784,-1896,2214
-26048,9447,20500,-23530,9185,24410,71,-1235,-91,-1419,-4458,2452
-22173,-63,14546,-18954,9372,17666,-38,-1130,90,2410,-6128,2958
-16179,-4878,9183,-15505,13790,9384,-93,-859,247,5837,-6661,3889
-14362,-7440,5986,-13449,18020,4478,-114,-728,253,5736,-6134,4655
-14344,-7235,2532,-13553,18877,1573,-112,-646,222,3142,-4809,5737
-15583,-6119,221,-15015,15543,707,-98,-602,479,966,-3987,6435
-17425,-3611,-1938,-16784,11019,-996,-67,-306,390,-612,-3413,6987
-18766,-2270,-2487,-17720,8954,-1770,-14,-129,401,-849,-3260,7203
-20619,-1158,-3500,-18698,7372,-2726,35,-22,275,-480,-3241,7292
-21661,-458,-4813,-18454,7034,-2996,53,31,191,2,-3185,7231
-22211,245,-5729,-18550,8660,-3316,29,9,149,389,-2972,7094
-22702,-536,-6044,-18467,9466,-3440,-36,-22,231,341,-2723,7028
-22313,-934,-5875,-18471,9990,-3261,-126,-370,221,41,-2322,7019
-22489,-2015,-5935,-18353,9928,-3038,-139,-611,138,-340,-2054,7017
-22587,-2318,-5630,-18259,9599,-2794,-119,-623,38,-847,-1813,6987
-23403,-3453,-5345,-18552,10006,-2472,-78,-549,-43,-1180,-1711,6867
-23554,-3696,-5010,-18669,9314,-2147,-39,-386,-20,-1458,-1648,6637
-23990,-4168,-4467,-18801,9541,-1655,60,-265,2,-1335,-1651,6434
-23958,-3142,-3851,-18444,9241,-1080,141,-151,16,-814,-1669,6392
-23008,647,-2891,-17959,9348,-393,152,-164,144,-309,-1739,6564
-22278,3243,-2652,-17016,7897,605,136,-411,101,539,-1738,7066
-19607,8457,-3558,-16101,5013,546,35,-439,62,850,-1631,7593
-17508,14106,-3967,-15154,-2966,1036,42,343,-94,893,-1194,8299
-12958,32395,-2991,-14484,-19116,-33,154,784,-580,1357,-711,8684
-5771,32767,-2507,-4813,-32768,21,163,-269,-479,99,57,8186
-4542,32767,-2444,-4950,-32768,833,274,-155,-234,-1285,738,6340
-4241,32767,-2363,-3838,-32768,-1284,150,-71,-6,-3800,951,1976
-8889,32767,-1764,-8237,-32768,-1721,233,-252,131,-2704,1971,-3766
-17756,32767,-161,-14334,-32768,-455,219,-264,127,-1756,2534,-7322
-26592,31161,469,-22131,-30792,996,201,-270,122,-469,2911,-10749
-32212,17842,413,-30679,-15782,1375,192,-270,419,613,2839,-12175
-32768,2095,-844,-32768,5402,-445,221,-7,510,1513,2211,-12786
-32768,-4143,-1662,-32768,21385,-257,224,226,472,-653,1926,-12086
-32768,-3750,-4055,-32768,16467,-1698,139,373,373,-4860,2314,-10446
-32768,-4325,-4445,-31491,12653,-2432,16,316,364,-5923,3070,-9446
-32768,-4559,-2398,-27189,8778,-2543,-116,296,236,-4522,4161,-8750
-32768,-7171,-1115,-25357,7334,-1666,-169,435,142,-2764,4950,-8396
-31872,-9963,-26,-25644,7846,-725,-213,773,155,-1238,5506,-7698
-25859,-10029,-483,-24882,9496,159,-246,756,56,-1248,5587,-7153
-22137,-8602,-1315,-22468,10293,-465,-290,750,-29,-2340,5349,-6484
-19657,-4572,-1434,-21398,8594,-1726,-263,502,-290,-2845,5097,-5917
-17833,-2158,-1585,-20861,8316,-1612,-244,372,-348,-3016,5075,-5188
-16142,-392,-1490,-19477,9282,-698,-235,230,-268,-2855,5224,-4548
-15218,334,-1466,-17514,9532,-531,-204,137,-141,-2448,5447,-3449
-14602,795,-1476,-16703,10359,-1501,-55,199,-175,-1967,5493,-2594
-14711,142,-1363,-15911,10750,-1949,58,396,-227,-1452,5427,-1378
-16353,-1603,-1368,-16423,11304,-90,172,300,-281,-1399,5512,-550
-19183,-2735,-1710,-19240,11009,3227,130,125,-271,-1462,6100,380
-25517,-4733,3923,-21935,11207,7321,57,-143,-302,-1276,6553,851
-27214,-9553,11868,-25394,11607,15568,20,-506,-507,-487,6765,1161
-27005,-17824,16220,-29437,11542,22150,-166,67,-565,508,6398,1158
-32768,-22945,23358,-32768,13456,29257,-318,454,30,1274,5424,1029
-32768,-32768,32767,-32768,21969,32767,-45,415,56,-184,3950,822
-32768,12217,32767,-32768,27437,32767,136,18,-206,-3793,3231,1375
-32768,32767,29086,-32768,1987,32767,-18,-8,-346,-5906,413,1904
-32663,11277,28629,-32768,-8822,32767,97,-510,-467,-2287,-3758,1390
-26474,9524,16306,-25499,1986,19258,-40,-951,-309,4368,-6947,1060
-23386,-706,8795,-18991,7809,13391,-72,-1031,-120,7362,-7376,1290
