-11282,-6306,2727,-7359,11024,5023,-1249,62,2457,3872,-4884,665
-11479,-6573,2983,-6684,11404,5526,-1194,62,2301,3265,-5199,1169
-11666,-6262,3426,-6351,11685,5185,-1068,-44,2063,2886,-5315,1544
-11672,-6113,3463,-5845,11481,3826,-921,-129,1882,2538,-5350,2019
-11460,-5564,3349,-5104,11184,3049,-699,-266,1639,2504,-5294,2368
-11448,-5704,2919,-4339,11490,1654,-552,-374,1419,2510,-5088,2813
-11816,-5681,1936,-3856,11786,868,-391,-510,1224,2264,-4834,3121
-11399,-5144,1485,-3260,11904,-228,-298,-492,1035,1663,-4449,3427
-10441,-4128,772,-2493,11228,-978,-238,-313,991,1274,-4147,3591
-9758,-3731,360,-1333,10287,-1892,-248,-179,1040,1007,-3732,3819
-8790,-2484,-328,-913,9971,-2733,-280,-6,1020,903,-3395,4001
-8087,-1711,-984,-841,9607,-4096,-314,49,1022,824,-2880,4211
-6993,-554,-1638,-839,9501,-4765,-337,-29,931,787,-2475,4278
-5594,469,-1981,-294,9102,-5105,-339,-20,943,611,-1940,4201
-4225,1251,-2251,201,8429,-5225,-326,42,937,530,-1547,4097
-3181,1862,-2244,601,7590,-5419,-313,86,942,762,-1054,4019
-2299,2402,-1997,829,6701,-5266,-298,182,965,947,-700,4002
-1592,2632,-1743,1151,5966,-4873,-286,234,974,1044,-394,3976
-990,2640,-1394,1625,5072,-4396,-276,287,966,1040,-17,3848
-713,2536,-1030,1882,4926,-4083,-264,296,891,943,244,3691
-132,2581,-314,2183,3897,-3626,-249,250,761,886,534,3452
448,2777,-240,2632,3248,-3253,-245,201,617,986,705,3293
790,2593,-167,3379,2757,-2409,-268,89,588,1278,916,3115
667,2092,249,3599,2791,-1881,-305,-32,620,1413,1090,2969
745,1339,1298,3806,2889,-1762,-333,-85,666,1346,1314,2730
639,1411,1224,3873,2669,-1474,-387,-31,807,1236,1494,2545
349,1673,900,3780,2338,829,-436,-6,925,1132,1811,2328
79,1337,340,3677,2105,1885,-483,47,1029,927,2036,2196
-27,854,1164,3264,1201,1889,-495,179,951,692,2197,2032
