-6590,-5978,18336,6305,10530,17436,-1059,85,1759,2938,2544,227
-7271,-5514,18410,6205,9504,18481,-1161,85,1725,1861,1635,1338
-6934,-4769,17060,5886,7744,18835,-1337,99,1599,1121,1147,2090
-6235,-3304,15713,4795,4221,19576,-1469,86,1531,485,531,2815
-5395,-1670,14602,3902,2170,19891,-1566,53,1458,398,-22,3094
-5127,-450,14556,3458,-393,19768,-1569,1,1432,293,-811,3224
-4787,581,14491,3406,-1937,19233,-1505,-27,1461,10,-1381,3137
-4236,949,14169,2963,-3176,18367,-1454,-18,1502,-309,-2048,2825
-3849,352,14112,2303,-3472,17764,-1422,-91,1571,-417,-2461,2537
-3773,-7,14006,1353,-3247,16940,-1387,-253,1547,-648,-2889,2144
-3708,238,14300,887,-2914,16110,-1337,-357,1538,-1030,-3145,1868
-3984,1103,14523,437,-2975,14882,-1320,-426,1476,-1548,-3414,1535
-3820,2162,13947,183,-3079,13888,-1334,-498,1450,-1834,-3548,1283
-3586,3063,13382,-20,-3236,12521,-1360,-550,1460,-2096,-3639,919
-3425,3814,12596,104,-3038,11398,-1354,-564,1438,-2235,-3635,677
-3445,5248,11451,235,-2869,10504,-1336,-583,1436,-2379,-3542,473
-3277,6622,10627,160,-2412,9518,-1331,-617,1465,-2760,-3301,281
-3020,8570,9653,154,-2535,8904,-1267,-573,1535,-3241,-3077,161
-2589,9955,8657,201,-3121,7978,-1219,-523,1582,-3830,-2727,-33
-2440,11164,7343,56,-3705,7348,-1209,-402,1724,-4055,-2432,-191
-2485,12025,6346,-254,-4186,6655,-1203,-434,1773,-4129,-2037,-441
-2485,12804,4807,-325,-4360,6169,-1178,-487,1775,-4146,-1715,-639
-2386,13001,3663,-697,-4159,6250,-1181,-501,1842,-4145,-1292,-894
-2120,12412,2240,-1133,-3398,6503,-1169,-523,1844,-4064,-1033,-1077
-2017,11535,1358,-1088,-2349,6606,-1134,-476,1766,-3975,-778,-1227
-1843,9912,246,-807,-1469,6359,-1076,-439,1748,-4025,-653,-1279
