-4049,8981,6018,-3604,-846,7639,-53,-180,244,-3544,-2778,1666
-3791,9214,4765,-3205,-1484,6390,-59,-129,231,-3591,-2682,1169
-3330,9298,3107,-2965,-1787,5317,-82,-69,222,-3647,-2611,788
-2978,9242,2096,-2633,-2027,3957,-83,-72,206,-3776,-2496,260
-2711,9113,1033,-2344,-2213,2855,-85,-37,201,-3838,-2381,-146
-2529,8910,189,-2056,-2313,1849,-80,-12,223,-3796,-2237,-550
-2085,8776,-753,-1687,-2110,575,-58,-23,197,-3599,-1984,-1058
-1790,8592,-1299,-1541,-1945,-46,-36,-28,189,-3387,-1754,-1404
-1385,8484,-1688,-1511,-1593,-567,-14,-8,145,-3140,-1425,-1811
-1275,8352,-1974,-1467,-1311,-989,-7,-8,110,-2982,-1178,-2072
-930,7903,-2249,-1129,-731,-1577,-3,6,57,-2834,-818,-2348
-587,7551,-2620,-755,-349,-1969,3,-5,27,-2761,-523,-2490
-251,7172,-2824,-293,81,-2270,-8,33,20,-2698,-62,-2619
93,6599,-3035,-74,548,-2472,-10,42,-25,-2715,345,-2727
37,6177,-3068,489,1001,-2662,8,86,-113,-2739,952,-2904
-124,5689,-3074,808,1359,-2655,4,148,-120,-2640,1413,-3023
119,5334,-3035,807,2466,-2205,-22,148,-124,-2358,2011,-3166
-68,4551,-2682,413,3619,-1637,-39,152,-124,-2121,2436,-3257
-824,3911,-2052,25,5323,-759,-51,168,-112,-1896,2922,-3284
-1886,2475,-1148,327,6417,102,-78,114,-115,-1784,3212,-3234
-1893,1081,-324,513,7736,1178,-100,115,-144,-1561,3508,-3107
-2512,-941,998,139,8939,2027,-132,140,-164,-1319,3679,-3020
-3167,-2526,2116,-35,10431,3363,-153,189,-104,-937,3869,-2878
-3251,-4823,3091,673,11223,4063,-147,150,-7,-515,3953,-2713
-2674,-6345,3492,1797,12480,4472,-124,123,-39,65,3994,-2418
-2281,-7678,3703,2187,13431,4587,-111,192,-133,396,4024,-2147
-2004,-8157,3871,2825,14419,4846,-128,227,-87,787,4146,-1735
-838,-8419,4488,3472,15078,5282,-155,185,-19,1065,4293,-1369
-170,-8815,5061,4376,15684,5906,-156,135,-108,1356,4457,-936
348,-9501,6109,4680,16766,6981,-132,148,-216,1758,4649,-283
780,-9811,7775,4523,17734,7853,-106,116,-171,2086,4757,282
1531,-9890,10541,4195,18973,9571,-79,95,-148,2468,4851,1170
1342,-9810,12436,3614,19858,10874,-54,82,-200,2548,4875,1930
412,-9780,14696,2551,20219,13177,4,98,-215,2426,4839,3052
-436,-9247,16881,1677,19651,15614,81,61,-190,2168,4714,3935
-1320,-8007,19467,739,17395,18873,170,-36,-94,1436,4266,5042
-1862,-6464,20645,43,14660,21473,172,-95,-10,720,3649,5696
-2312,-3744,21687,-678,10776,23780,132,-156,51,-174,2439,6161
-2422,-1720,22181,-828,8553,24323,95,-215,8,-560,1376,6192
-2609,213,22051,-1317,6865,24141,65,-310,-53,-763,31,5977
-2781,3296,21665,-1940,5786,23754,39,-346,-11,-938,-813,5741
-2787,4948,20698,-2981,4527,22089,40,-324,31,-1361,-1729,5398
-2997,5911,19284,-3767,3619,20375,51,-131,21,-1709,-2245,5109
-3700,6317,17754,-4450,2249,17850,67,-40,-54,-2076,-2679,4658
-4436,6888,15462,-4711,1269,15934,105,14,-140,-2203,-2867,4271
-4583,7317,13920,-4571,572,13565,106,66,-110,-2323,-2953,3722
-4470,7829,11696,-4326,21,12079,102,-28,-58,-2451,-2913,3320
-4326,8092,9922,-3955,-409,9946,106,-92,-69,-2731,-2785,2804
-4267,8330,7902,-3534,-912,8298,112,-132,-98,-3015,-2654,2422
-4231,8524,6599,-2956,-1558,6740,122,-137,-76,-3280,-2441,1915
-3849,8626,4790,-2580,-1903,5589,116,-132,-13,-3391,-2280,1519
-3661,8671,3517,-2343,-2140,4696,84,-91,-24,-3408,-2121,1117
-3324,8721,1991,-2112,-2253,3507,83,-69,12,-3318,-1942,573
-3018,8776,1072,-1938,-2259,2658,102,-36,37,-3244,-1803,174
-2585,8900,320,-1554,-1991,1444,124,-61,98,-3202,-1588,-311
-2459,8784,-292,-1068,-2062,796,149,-84,95,-3161,-1391,-614
-2288,8775,-913,-546,-1982,234,147,-91,58,-3134,-1094,-955
-1999,8671,-1070,-288,-2050,-61,123,-76,34,-3139,-881,-1198
-1707,8525,-1216,-187,-2091,-501,96,-40,24,-3073,-643,-1539
-1383,8232,-1399,-140,-1894,-845,68,-32,35,-2974,-479,-1798
-814,7892,-1788,-68,-1374,-1338,36,-48,99,-2833,-224,-2105
-434,7614,-1973,-65,-1010,-1620,36,-48,170,-2694,7,-2288
-71,7225,-2283,71,-483,-1869,29,-23,185,-2502,344,-2464
134,6640,-2436,194,-107,-1951,5,-36,185,-2350,627,-2558
381,5728,-2521,488,563,-1885,-9,-54,156,-2240,1065,-2676
300,5073,-2485,877,1065,-1739,-6,-22,114,-2164,1417,-2742
335,3965,-2355,1279,1805,-1332,-3,15,96,-2034,1879,-2789
144,2946,-2166,925,2696,-708,-12,8,90,-1917,2203,-2811
-394,1959,-1796,408,3981,72,-31,-8,119,-1772,2579,-2838
-1497,589,-1222,461,4987,527,-43,-42,117,-1632,2791,-2809
-1964,-671,-936,826,6329,1352,-43,-94,88,-1397,3037,-2719
-1726,-2381,-270,881,7436,2058,-62,-112,100,-1171,3220,-2648
-1919,-3425,379,516,8734,2723,-90,-84,96,-846,3442,-2541
-2599,-4613,1393,455,9694,3344,-111,0,57,-540,3572,-2407
-2751,-5451,2273,931,11091,4239,-111,73,-21,-33,3708,-2164
-2879,-6096,3224,1841,11994,4910,-82,91,-103,307,3794,-1945
-2742,-6692,3799,2611,12753,5256,-78,218,-114,532,3866,-1666
-1615,-7421,5259,3106,13829,5840,-111,284,-9,798,3984,-1209
-456,-8054,7004,3288,14600,6775,-123,231,-114,1059,4103,-808
-70,-8688,8929,4111,15186,8391,-119,216,-378,1487,4228,-234
-416,-9289,10538,4745,15584,9498,-135,245,-395,1807,4220,227
-495,-9992,13132,5070,16390,10978,-132,231,-274,2154,4098,888
-437,-9762,14787,5090,16902,12157,-64,162,-280,2337,3960,1437
-812,-8878,16500,4839,17126,13754,32,134,-223,2547,3738,2243
-1047,-7699,17692,4431,16785,15124,41,186,-103,2577,3533,2895
-1120,-5147,19588,3459,15655,17089,30,172,-59,2249,3162,3737
-1094,-2992,20585,2815,13945,18889,12,153,-149,1894,2768,4288
-699,-408,22184,2408,10560,22023,-43,141,-79,1479,2056,4828
