2092,8435,13652,2719,-2445,13151,-40,-380,-48,-1361,-1568,2468
1787,9312,12786,1760,-2999,12441,-7,-378,-16,-1660,-1742,2195
1031,10212,11977,877,-4202,11395,22,-351,-50,-2102,-1914,1813
443,10763,11423,365,-5283,10806,37,-299,-56,-2350,-2021,1484
-225,11634,10650,-66,-6152,10200,34,-229,-41,-2506,-2113,1110
-771,12277,9914,-607,-6682,9173,18,-135,-4,-2575,-2210,522
-1359,13103,8657,-846,-6905,8315,13,-62,2,-2433,-2256,56
-1698,13292,7564,-1027,-6456,7138,7,-51,-23,-2027,-2265,-497
-1917,13081,6320,-1038,-5825,6358,-7,-50,-39,-1716,-2241,-829
-1991,12384,5198,-903,-4898,5350,-23,-63,-19,-1450,-2166,-1150
-1818,11369,3771,-774,-4111,4502,-39,-67,-46,-1402,-2088,-1316
-1585,10383,2831,-522,-3414,3473,-45,-81,-58,-1570,-1965,-1465
-1455,9202,1618,-266,-3035,2718,-27,-53,-33,-1776,-1853,-1564
-1592,8651,897,154,-2706,1878,18,-41,-55,-1905,-1675,-1717
-1952,8228,-172,431,-2403,1395,42,-44,-83,-1841,-1509,-1829
-1804,7871,-1077,733,-1625,635,44,-33,-105,-1654,-1269,-1973
-1748,6721,-1710,943,-1049,118,47,12,-117,-1463,-1092,-2054
-1825,5697,-2141,1186,51,-391,48,38,-105,-1238,-834,-2131
-1792,5119,-2800,1228,1038,-713,42,50,-95,-1209,-609,-2139
-1787,4900,-3201,1545,2076,-1292,28,53,-95,-1261,-276,-2051
-1194,5009,-3763,2246,2810,-1599,-1,61,-48,-1325,5,-1907
-612,4845,-3916,3220,3808,-1885,-17,86,-36,-1534,442,-1661
-512,4015,-3972,3590,4472,-1793,-20,91,92,-1794,816,-1487
-1014,2694,-3892,3656,5200,-1156,-15,133,81,-2077,1361,-1311
-996,2103,-3969,4454,5512,-1013,-36,187,81,-2087,1717,-1185
1001,1411,-3562,5692,5949,-712,-39,225,100,-1818,2097,-928
721,94,-2351,6479,6339,-137,-2,239,24,-1548,2389,-712
-1355,-3068,-269,6518,6389,677,7,325,-95,-1146,2741,-454
-2268,-4975,1055,6846,6297,1272,-12,368,116,-681,2960,-312
-1282,-7448,1920,7194,6427,2058,-63,395,325,-40,3132,-158
685,-8674,2584,7407,6875,2655,-8,407,222,719,3299,123
1381,-10086,3654,7745,7191,3123,74,440,-47,1053,3393,354
1462,-10896,4003,9657,6674,4414,73,449,-93,1359,3463,713
3226,-9871,4119,10696,5995,5880,27,390,121,1644,3478,1026
5474,-9301,4429,10527,5625,7999,20,296,167,2075,3367,1461
6389,-9491,4938,10352,5469,9519,26,281,90,2283,3152,1787
5750,-10412,6067,10382,4610,11595,40,200,61,2370,2746,2240
5483,-11002,8722,10166,3925,12708,68,112,-8,2350,2419,2615
5465,-10405,10290,9210,3161,13647,86,41,8,2147,2020,3113
4700,-9340,11493,8001,2849,14176,116,-65,36,1883,1747,3439
3414,-8575,12173,6125,1971,15832,132,-140,25,1377,1423,3803
1913,-7115,14496,4807,701,16088,166,-236,-132,675,1090,3990
1198,-5458,15631,3839,-1860,15921,175,-309,-188,-216,477,4042
799,-2580,16445,3643,-3865,15934,159,-322,-122,-547,-21,3934
562,-496,17204,3649,-5386,16066,153,-343,-111,-688,-598,3607
340,1782,17330,3306,-5880,15996,117,-286,-77,-786,-962,3254
-26,3204,17224,2578,-6761,15490,94,-275,-4,-1116,-1452,2687
-243,4529,16400,1834,-6886,14739,70,-317,44,-1412,-1831,2195
