-8785,6210,521,-7351,1439,503,102,151,-6,47,49,352
-8795,6313,545,-7266,1167,621,134,187,-30,-150,107,310
-8839,6370,587,-7207,1017,682,179,224,-74,-263,147,257
-8737,6412,645,-7061,957,785,201,246,-91,-372,183,171
-8603,6356,645,-6914,1041,888,217,253,-122,-438,196,114
-8464,6230,752,-6832,1193,1000,217,245,-153,-519,197,79
-8478,6068,816,-6753,1340,1061,202,214,-192,-563,184,80
-8811,5861,827,-6943,1513,1199,183,207,-230,-592,161,103
-9498,5699,863,-7666,1675,1332,158,278,-238,-578,139,126
-10331,5542,957,-8895,1811,1397,175,434,-185,-474,95,126
-11466,5339,1189,-9726,1898,1448,239,576,-107,-333,60,94
-11722,5337,1124,-10189,1952,1615,292,551,-90,-63,39,4
-11512,5462,1047,-10062,2181,1761,335,481,-79,85,68,-63
-11295,5431,994,-9594,2328,1966,350,411,-98,-86,182,-90
-10949,5179,989,-8945,1755,2399,336,281,-156,-285,257,-149
-10604,4959,853,-7952,1102,3083,304,174,-193,-196,293,-276
-10065,4878,566,-7299,1550,3295,255,49,-245,93,246,-318
-9906,4928,314,-7036,2768,3007,219,-26,-278,187,170,-282
-10436,4850,195,-7320,3597,2553,205,31,-262,-196,90,-156
-10959,4550,276,-8085,3391,2236,222,145,-190,-538,75,-93
-10855,4160,409,-8529,3057,1998,230,143,-137,-744,113,-124
-10111,4000,351,-8155,2951,1831,188,-3,-153,-786,157,-154
-9211,4041,314,-7473,2652,1757,138,-143,-177,-713,167,-153
-8786,4089,261,-7128,2528,1802,88,-163,-149,-534,146,-139
-8579,4007,365,-6979,2628,1830,71,-147,-112,-244,96,-106
-8756,3965,390,-7014,2782,1826,65,-148,-73,-83,53,-81
-9039,3962,419,-7193,3002,1751,58,-170,-61,-10,11,-61
-9274,3969,483,-7362,3070,1685,37,-170,-36,-23,-1,-55
-9485,3868,578,-7422,3062,1587,13,-150,-21,-39,10,-50
-9478,3755,612,-7341,3041,1615,-26,-156,-4,-40,34,-40
-9407,3740,615,-7266,3047,1656,-49,-182,5,-28,53,-16
-9370,3748,672,-7264,3001,1724,-52,-201,1,5,45,4
-9373,3731,674,-7287,2957,1749,-44,-179,2,93,10,31
-9391,3704,630,-7319,2970,1691,-33,-136,1,172,-17,47
-9398,3602,650,-7357,3105,1681,-35,-108,10,237,-24,72
-9399,3512,617,-7400,3174,1665,-52,-77,16,223,-7,90
-9447,3457,691,-7472,3206,1656,-69,-58,18,135,30,107
