33,8939,1964,1960,-2838,3791,148,37,19,-3802,1216,1148
464,9688,2754,1957,-3882,4670,162,377,-211,-2649,835,898
1137,9429,2198,921,-3590,5588,116,630,-227,-992,267,400
811,7981,1766,623,-1994,5046,49,725,-43,-192,-132,87
215,7112,1176,650,-1088,3673,13,531,-58,106,-336,-110
-304,5991,815,702,-839,2794,-16,134,-65,366,-357,-213
-787,4467,590,738,-107,1970,-38,-111,-50,655,-359,-342
-1025,3637,599,681,674,1657,-43,-278,7,956,-425,-434
-1173,3415,622,592,1485,1612,-28,-265,14,1002,-507,-377
-1213,3702,509,463,1790,1480,-23,-181,44,812,-590,-188
-1359,4010,295,540,1529,1265,-37,-142,-3,639,-629,-41
-1841,4161,417,192,1501,1063,-61,-50,-68,485,-656,69
-3430,4302,909,-520,1629,862,-64,17,-51,356,-672,87
-6234,4489,1343,-4131,1773,726,-34,372,-54,172,-677,76
-13125,5713,1759,-9775,2119,518,-32,842,-126,94,-697,-20
-20985,8038,1053,-22751,2085,-52,-68,-2487,-1440,201,-878,-260
-32768,8812,2086,-32768,1556,16,-257,-1952,-1227,376,-1270,-449
-32768,6694,1867,-32768,2980,-312,-10,-117,-288,852,-1484,-1075
-32768,5084,1386,-32768,4308,-1290,73,87,3,1170,-1057,-1359
-30400,4475,1596,-30120,3615,-1685,-2,-501,147,1521,-173,-1363
-23812,3911,4242,-22961,2617,-872,64,-472,32,1774,659,-1039
-14761,1974,7611,-13085,5257,2155,104,-306,281,1660,1822,-525
-9506,2112,6489,-7787,6882,4547,102,154,421,681,2413,-173
-4342,5784,2943,-3680,7402,5334,160,286,396,-1654,2675,430
-1268,8509,2202,-1659,5395,4578,195,280,202,-3279,2335,998
-177,8487,3201,461,944,4209,198,31,312,-4179,1393,1312
166,9259,3134,1853,-3762,6181,209,129,18,-3703,496,1020
-64,8094,2715,1383,-3503,6621,206,312,-29,-1845,-544,480
-443,6496,2280,1907,-2106,4907,191,536,-22,-1140,-695,299
-775,4551,1472,1683,-2352,3220,169,626,66,-553,-530,105
-970,3884,1163,1164,-2247,2661,149,585,165,123,-480,-130
-940,3265,704,791,-774,2439,132,395,139,877,-540,-370
-1096,3014,453,431,1025,1983,111,9,86,1369,-706,-601
-1435,2592,104,360,2165,1780,106,-248,40,1370,-840,-585
-1821,2542,-114,223,2963,1518,124,-293,12,970,-977,-346
-1977,2690,-451,187,3036,1203,132,-247,16,582,-1034,-103
-1816,2788,-650,232,2477,733,109,-63,51,229,-1071,177
-2221,2822,-520,10,2157,396,54,25,9,142,-1070,329
-3517,3101,-72,-1481,1994,310,-12,230,-39,153,-1026,497
-7688,3708,724,-4724,1854,800,-66,413,23,231,-966,614
-14114,3897,1245,-12574,1980,506,-89,685,-900,404,-928,684
-29356,5035,851,-22193,1809,-309,-105,-1707,-1441,739,-1028,604
-32768,6353,2689,-32768,1267,-279,-9,-1365,-728,1357,-1396,343
-32768,5033,2340,-32184,2684,-38,159,309,-98,1866,-1348,-148
-31329,5682,1863,-32119,4363,-458,132,-134,36,1999,-458,-556
-28503,6762,2865,-29302,4202,-1,55,-655,44,1736,399,-668
