-15603,5404,-1593,-16160,3746,-1453,-11,-883,160,1328,-7027,5029
-15056,9622,-5010,-15700,1484,-3800,11,-561,283,1930,-7047,5478
-12219,15696,-8576,-13750,-5456,-8057,170,15,442,1734,-6463,5880
-6034,22695,-11740,-11074,-12536,-11521,284,132,454,965,-5725,5805
-619,29849,-15710,-8061,-27465,-17127,280,827,-389,378,-4861,5125
4410,32767,-20199,-4510,-32768,-20721,236,-2114,177,921,-4168,4124
5823,32767,-22980,-2539,-32768,-22689,-456,-1821,602,1228,-3181,2603
5920,32767,-21795,-2686,-32768,-22217,-251,1375,407,523,-1385,51
3875,32767,-18609,-3756,-32768,-20295,103,1036,-283,251,-34,-1694
269,32767,-15187,-5747,-31009,-17245,61,390,-185,307,1357,-3366
-1402,30222,-13495,-6535,-26825,-15402,-85,484,-92,497,2051,-4119
-2319,26967,-11565,-8105,-21605,-13574,-48,-438,-434,401,2887,-4928
-3103,24753,-10566,-9819,-18908,-12319,91,-767,-303,129,3580,-5529
-4944,22941,-9678,-11906,-14519,-10494,64,-430,-581,-169,4539,-6236
-6088,20666,-8667,-13116,-10435,-8273,-21,-262,-484,-294,5279,-6716
-10023,16470,-6763,-16379,-4116,-5409,-186,-318,-304,-501,6127,-7253
-13244,13362,-4980,-19183,621,-3361,-262,-341,-356,-530,6693,-7503
-19364,8269,-2189,-23702,6196,-1437,-323,-354,-176,-639,7297,-7633
-24795,3770,-412,-26370,9302,-1146,-278,-127,-103,-1349,7655,-7504
-26917,2355,-629,-28901,10767,-816,-164,449,-55,-2498,8120,-7054
-28667,3120,-1452,-29797,10573,114,-155,554,-20,-2699,8344,-6626
-28633,4225,-1563,-29622,9328,3144,-106,545,-1,-1466,8379,-6058
-28395,3167,-579,-29218,10879,4819,-69,554,31,-121,8102,-5661
-28292,411,340,-27089,15579,5053,-97,604,199,-482,7672,-5058
-27185,-1244,294,-24260,15643,4823,-170,532,376,-1865,7440,-4414
-26100,-1319,-127,-20743,12407,3984,-230,932,309,-3265,7180,-3239
-23753,-934,-150,-19129,9512,3894,-173,1372,159,-3295,6965,-2317
-21814,-518,314,-17450,7681,4923,-130,1868,51,-2276,6638,-1221
-19160,685,1864,-15814,7296,6144,-61,2073,100,-1483,6382,-470
-16841,1695,3089,-14066,6240,6955,-13,2186,329,-694,5982,421
-15325,3373,2316,-13586,4815,6879,-43,2011,436,-78,5601,928
-15847,4147,1575,-13745,3994,6948,-156,1472,562,671,5218,1203
-16568,2946,3120,-14922,4207,8338,-369,415,401,1434,4799,1194
-17085,1426,5090,-15295,4278,9506,-399,-443,260,1629,4582,1011
-19460,65,6704,-16723,4763,11426,-416,-964,238,1632,4386,670
-19961,-1081,10744,-16801,5447,12412,-463,-2091,-82,1465,4220,444
-19059,-3856,17569,-16747,7083,15667,-109,-4785,-2529,933,3986,316
-23204,-5129,21953,-18320,7806,19981,321,-3415,-3328,131,3834,503
-29937,-7793,32767,-22778,6656,27984,171,-574,-921,-1245,3432,942
-31350,-5290,32767,-22299,5281,32767,74,579,306,-2395,2794,1065
-32768,11097,32767,-30672,-10199,32767,293,460,-296,-2988,738,336
-32768,17936,29887,-29699,-2818,32767,361,229,-728,-1089,-1363,-302
-32768,15416,21696,-29759,-1044,22548,332,-93,-685,242,-2747,-957
-31295,7353,17572,-28488,69,22059,270,-471,-290,2542,-3754,-1472
-26991,-1892,13017,-25566,7465,17876,128,-902,-161,5191,-4877,-1375
-24273,-5290,10361,-21888,10608,13025,21,-1239,28,5674,-5492,-702
-20027,-5939,7239,-15941,11542,10480,-81,-1235,232,5356,-5867,533
-17438,-3763,5391,-12820,10844,8365,-112,-936,584,5065,-5897,1514
-15739,-1370,3743,-10544,10492,6071,-128,-312,972,4668,-5794,2744
-15168,258,2315,-10053,10814,5248,-46,-108,911,4149,-5647,3636
-15812,1368,798,-12495,11842,2921,43,196,590,3002,-5412,4747
-17527,1747,-522,-15093,12150,1391,80,671,353,1705,-5182,5424
-18045,1811,-720,-17267,10525,448,200,1042,123,168,-4779,6059
-18255,912,-464,-17982,9375,242,279,1360,-70,-447,-4429,6361
-18576,441,-520,-18280,9050,75,412,316,-276,-887,-4010,6613
-18649,596,-865,-18558,9601,-275,335,670,-256,-1273,-3827,6703
-18650,445,-1041,-18614,9933,-557,270,710,-188,-1807,-3749,6733
-19106,-478,-702,-18496,10087,-895,76,614,35,-2517,-3753,6670
-19401,-879,-213,-18519,10454,-635,-22,683,143,-2896,-3849,6580
