4884,5858,566,7011,434,900,37,-48,7,-311,968,2421
4598,6357,558,6639,-142,1019,38,-53,3,-318,1032,2541
4209,6952,685,6206,-547,1015,34,-61,2,-212,1082,2635
3991,7406,954,5788,-1168,1635,24,-58,9,64,1168,2754
3718,8079,1538,5454,-1672,2017,17,-39,12,211,1232,2847
3500,8477,1772,4840,-2177,2032,20,-35,-11,295,1279,2936
3116,8890,1874,4516,-2593,1892,22,-49,-17,402,1292,2960
2887,9343,1961,4166,-3208,2200,22,-64,1,738,1325,2947
2669,9884,2335,3906,-3748,2864,17,-55,23,1043,1379,2914
2483,10305,2686,3518,-4194,3374,15,-39,18,1399,1418,2841
2293,10945,2893,3289,-4474,3442,16,-44,-6,1695,1412,2754
2063,11394,3103,3080,-4569,3813,16,-52,7,2084,1392,2610
1896,11977,3362,2978,-4322,4373,14,-49,26,2109,1391,2487
1850,12525,3693,2717,-4326,5347,12,-36,28,1639,1387,2332
1840,13291,4064,2501,-5033,5786,11,-27,30,1186,1353,2240
1860,13935,4384,2300,-6213,6543,-1,-5,37,817,1230,2106
1841,14637,4860,2200,-7037,6945,-11,13,45,636,1094,1957
1909,15453,5650,2120,-8043,7700,-23,29,42,468,868,1692
1969,15973,6162,2026,-8820,8418,-30,46,49,262,695,1443
2142,16684,6426,1928,-9916,8994,-30,67,51,-147,455,1043
2281,17185,6217,1830,-10669,9271,-24,73,43,-508,256,683
2435,17305,5936,1792,-11609,9224,-11,72,29,-913,-53,129
2458,16812,5685,1897,-11990,8930,-8,65,28,-1005,-296,-335
2408,15727,5058,2037,-11649,8271,-10,46,30,-835,-592,-966
2337,14777,4683,2131,-10732,7687,-10,31,36,-642,-785,-1398
2281,13665,4185,2349,-9211,6843,-9,16,45,-574,-980,-1858
2350,13116,3830,2407,-8138,6457,-9,11,48,-702,-1083,-2110
2478,12464,3402,2564,-7238,6009,-3,11,44,-958,-1154,-2301
2596,12066,3020,2765,-6534,5474,-2,17,42,-1231,-1212,-2493
2704,11446,2609,2919,-6156,5127,-1,26,42,-1277,-1250,-2607
2849,10941,2379,3115,-5389,4780,-3,41,32,-1245,-1301,-2763
3121,10205,2070,3237,-4799,4465,-2,47,12,-1245,-1338,-2885
3395,9591,1865,3352,-4187,4051,7,56,-28,-1199,-1392,-3007
3584,8955,1693,3574,-3786,3759,17,58,-61,-1157,-1433,-3069
3710,8601,1613,3926,-3298,3489,33,69,-96,-1095,-1474,-3099
3906,8158,1381,4246,-2880,3089,44,73,-114,-1041,-1500,-3082
4039,7894,1180,4663,-2075,2512,49,75,-123,-1035,-1494,-3017
4342,7484,930,4984,-1414,1996,46,76,-118,-1094,-1468,-2947
4538,7209,748,5495,-726,1416,36,74,-106,-1172,-1391,-2832
4779,6780,590,5794,-286,1125,24,71,-96,-1157,-1310,-2729
4973,6518,442,6259,292,651,10,59,-83,-993,-1193,-2576
5153,6025,261,6602,967,294,0,44,-67,-853,-1095,-2445
5366,5644,170,7222,1602,-67,-11,32,-42,-768,-951,-2234
5748,5041,68,7645,1837,-299,-19,28,-22,-709,-841,-2041
6161,4590,-2,8178,2275,-649,-29,34,0,-573,-703,-1760
6475,4106,-58,8528,2618,-885,-36,38,9,-446,-598,-1542
6765,3582,-19,8963,3113,-1087,-41,43,7,-355,-438,-1235
7067,3013,-247,9150,3379,-1199,-41,41,-4,-316,-304,-993
7623,2177,-632,9392,3603,-1379,-41,27,-30,-244,-129,-647
7802,1646,-698,9471,3751,-1340,-38,23,-23,-177,4,-376
7762,1102,-559,9472,3769,-1175,-29,16,-15,-109,184,-7
7647,819,-500,9423,3721,-963,-18,13,-16,-106,303,252
7512,619,-479,9318,3569,-760,-10,1,-17,-90,400,500
7273,586,-375,9146,3285,-615,-9,-17,-13,-27,507,816
6992,846,-238,8974,3032,-373,-17,-26,-6,35,581,1031
6891,1246,-98,8738,2544,57,-26,-25,-1,95,664,1311
6699,2041,45,8492,2215,277,-31,-17,1,139,711,1511
6534,2599,133,8190,1867,286,-28,-23,-10,203,773,1762
6279,3173,97,7956,1566,367,-24,-35,-12,238,832,1929
6005,3559,19,7559,1096,657,-19,-44,-3,279,918,2148
5696,3994,356,7220,811,774,-12,-44,-1,310,972,2304
5443,4342,575,6836,436,848,-10,-43,0,358,1045,2500
5024,4868,794,6498,208,1123,-10,-33,16,373,1098,2642
4628,5219,906,5929,-208,1485,-13,-32,26,336,1165,2821
4325,5764,1201,5510,-733,1842,-15,-30,25,336,1189,2943
4118,6238,1627,5004,-1449,2221,-13,-19,21,413,1193,3070
3705,6847,2030,4616,-1848,2553,-12,-8,23,506,1184,3144
3423,7351,2032,4039,-2396,3021,-11,-7,37,602,1159,3242
3024,7955,1915,3562,-2874,3399,-6,-9,40,630,1131,3302
2816,8410,1955,2920,-3439,3761,3,-14,18,678,1069,3354
2502,8750,2293,2521,-4138,4242,6,-13,-2,733,1007,3358
2300,9030,2684,1975,-5109,5173,13,5,-24,767,893,3304
1871,9622,3074,1608,-5995,5686,25,12,-53,733,756,3211
1573,10458,3483,1244,-7291,5902,45,9,-90,741,494,2997
1389,11509,3831,1108,-8128,6099,59,13,-102,841,263,2777
1253,12933,4465,1194,-9178,6185,69,38,-98,984,-24,2395
1188,14039,4953,1353,-9765,6212,71,56,-94,1052,-209,2075
1256,15523,5492,1538,-10372,6123,66,68,-85,1001,-362,1735
1317,16423,5894,1754,-11034,6087,46,70,-55,840,-507,1273
1363,17479,6407,1856,-11541,6117,25,64,-33,614,-573,919
1453,18129,6548,1957,-12039,5991,-3,65,-3,255,-626,446
1628,18499,6571,2032,-12282,5810,-24,68,20,-27,-651,76
1740,18505,6399,2187,-12198,5374,-40,60,43,-341,-662,-431
1932,17818,5814,2312,-11764,4984,-41,48,55,-498,-655,-801
1969,16916,5392,2433,-11043,4624,-31,23,60,-598,-624,-1257
1946,15573,4853,2514,-10297,4295,-18,-4,54,-598,-595,-1557
1932,14641,4543,2611,-9150,4058,-2,-28,43,-610,-559,-1887
2019,13660,4030,2776,-8345,3812,9,-40,31,-668,-534,-2072
2042,13070,3823,3017,-7436,3724,16,-45,17,-771,-501,-2247
2184,12278,3525,3140,-6802,3744,18,-34,14,-867,-479,-2350
2328,11767,3288,3396,-6087,3739,19,-17,9,-981,-479,-2467
2584,11148,3099,3566,-5660,3746,17,-8,11,-979,-499,-2542
