7262,5616,6927,2417,4373,-136,-5182,-11849,1711,-944,6089,765
7452,5585,8462,2482,4117,80,-7208,-13022,3322,-353,6352,-61
7423,5251,10165,2283,3863,310,-9163,-13680,4728,-68,6478,-783
7657,4465,12329,1886,3471,671,-11571,-14187,6795,-5,6610,-1803
7699,4093,13696,1556,3038,929,-12274,-13913,8669,-33,6577,-2608
8218,4219,14590,1340,2410,1256,-12946,-13444,9878,512,6216,-3619
8217,4464,15283,1188,2041,1444,-14067,-13476,10722,893,5856,-4308
7098,4630,16697,930,1688,1678,-15215,-13120,12713,927,5361,-5135
6178,4723,17489,642,1295,1854,-14905,-12479,14095,777,4800,-5731
4911,4905,17729,179,614,2090,-12809,-9735,13586,1491,3706,-6348
3959,5459,18276,-268,47,2301,-11407,-7541,13014,2013,2909,-6612
3204,4709,17643,-1267,-567,2463,-10582,-5420,12666,1922,2048,-6724
2635,3408,16894,-1909,-919,2499,-9833,-4307,13132,1561,1495,-6731
2057,1849,15696,-2140,-1272,2350,-8725,-2905,12700,1773,653,-6557
1261,1537,15126,-1978,-1438,2187,-7821,-1954,12101,2126,9,-6289
125,1685,13956,-1704,-1660,1993,-6990,-921,11326,2072,-720,-5859
11,2189,12754,-1915,-1809,1907,-6652,-311,10713,1738,-1133,-5556
301,1848,11354,-2857,-1866,1889,-6403,275,9690,1541,-1464,-5259
240,387,10419,-3530,-1815,1835,-5733,1457,8805,1546,-1770,-4869
-14,-1524,9476,-3721,-1716,1559,-4988,2165,7746,1727,-1985,-4556
-182,-2250,8750,-3502,-1673,1242,-4127,3299,6653,1992,-2244,-4090
279,-2881,8068,-2853,-1679,799,-3760,4339,6091,1997,-2379,-3745
656,-2979,7749,-2273,-1660,515,-3174,5574,5828,1851,-2452,-3295
649,-2317,7655,-2012,-1611,289,-2510,6481,5825,1850,-2468,-2952
161,-1958,7482,-2684,-1568,17,-1929,7572,5817,2002,-2529,-2473
-123,-2536,7085,-3412,-1624,-181,-1945,8482,5590,2001,-2605,-2072
-39,-3501,6103,-3698,-1775,-499,-1631,9136,4803,1576,-2674,-1515
176,-3380,5538,-3239,-1836,-728,-1372,9243,4603,1126,-2645,-1131
411,-2728,4732,-2538,-1790,-919,-913,9390,4404,809,-2529,-696
622,-1845,4232,-2377,-1694,-998,-730,9420,4086,885,-2461,-413
757,-1738,3998,-2849,-1554,-1082,-859,9492,3614,1248,-2419,-53
805,-1965,3774,-3291,-1437,-1208,-849,9695,2914,1563,-2380,255
1404,-2268,2992,-3226,-1338,-1437,-245,9778,1661,1564,-2250,634
2084,-1784,2252,-2735,-1246,-1545,276,9556,816,1194,-2051,882
2644,-870,1274,-2161,-1023,-1650,546,8764,254,680,-1672,1176
2865,153,814,-2122,-783,-1706,364,8220,60,644,-1413,1392
3007,402,447,-2692,-426,-1766,22,7392,39,1089,-1142,1644
