-7277,2688,2854,2244,-1606,-805,-9239,2793,-567,2082,234,-2072
-7652,2545,3240,2108,-1617,-892,-9426,1878,-877,1873,154,-1822
-8343,2482,3354,2004,-1678,-1111,-9706,1363,-1302,1855,134,-1635
-9250,2227,3172,2057,-1743,-1372,-12047,1088,-2196,1850,122,-1437
-10055,3407,3085,2342,-1759,-1865,-15593,521,-2550,1917,122,-1285
-9495,5439,3396,2445,-1601,-2290,-17843,1108,-1999,1966,107,-1169
-7725,7888,3163,2384,-1350,-2546,-17399,1605,-1179,1709,96,-1190
-4918,9731,2251,2234,-1079,-2350,-15255,2647,-1588,985,18,-1450
-3335,10710,1720,2239,-938,-1884,-13611,3474,-2206,335,-24,-1823
-792,10884,1518,2303,-687,-1340,-11603,3701,-1412,-286,59,-2479
718,11047,869,2519,-497,-1250,-9930,3889,-635,-390,192,-2922
2119,11007,526,2981,-329,-1284,-8123,4368,691,-225,353,-3282
1462,11191,1155,3372,-240,-1076,-7378,4689,1500,-103,418,-3355
-1911,12833,3030,3158,-35,-397,-7052,4292,1407,37,377,-3259
-5088,13472,4556,2355,92,211,-4739,4969,1578,-14,193,-2963
-8850,12821,5600,994,-91,1022,-2671,4486,2346,-244,149,-2657
-10290,11023,6475,236,-427,1582,-1062,2900,3683,-396,275,-2182
-11581,6823,7094,151,-1035,2214,-1204,1912,3753,-247,384,-1863
-12264,4696,7486,722,-1462,2555,-1991,-346,3959,205,395,-1527
-12530,3730,7829,1558,-1848,2690,-3317,-2438,4807,561,386,-1335
-12593,3568,7400,1952,-2033,2563,-5398,-4491,5083,788,386,-1128
-12116,3835,7203,2053,-2175,2355,-6630,-5420,5088,615,373,-1029
-10655,4981,7197,1632,-2280,2058,-7271,-6440,5256,95,319,-1058
-9526,5422,7410,1136,-2287,1846,-7483,-6886,5835,-249,227,-1196
-7546,4545,8338,975,-2320,1567,-7814,-7955,5879,-134,-57,-1540
-5775,4029,9080,1450,-2392,1438,-7763,-7625,5022,191,-427,-1831
-3698,4307,8780,2266,-2710,1397,-6920,-5270,3939,78,-969,-2114
-2600,5863,7850,2609,-3102,1455,-5913,-3008,2902,-732,-1298,-2241
-1392,8271,5932,2341,-3721,1591,-4745,-1908,1227,-2055,-1563,-2419
-5,9342,3520,1802,-4101,1727,-4243,-1701,-677,-2611,-1639,-2600
2119,9079,-809,1705,-4355,2072,-3742,-1894,-3274,-2688,-1593,-2822
3024,9838,-5276,1895,-4208,2625,-3345,-2647,-7901,-2509,-1279,-3184
3604,9725,-10781,1637,-3609,3605,-2749,-2034,-10748,-1976,-850,-3642
3037,9942,-14502,1238,-2800,4289,-3012,-324,-12417,-878,-69,-4276
2324,9569,-16265,653,-1351,4619,-3863,-342,-15267,-267,586,-4371
2190,10791,-17053,459,-312,4383,-3776,616,-16230,-408,1608,-3991
1156,10752,-16785,782,859,4039,-4242,211,-14608,-1047,2545,-3538
-211,10436,-14599,1234,1782,3933,-5545,-956,-11991,-1794,3709,-2930
-1192,10749,-12409,1230,2725,3825,-6448,-1778,-9980,-1802,4421,-2439
-2711,9609,-10130,562,3774,3499,-7782,-2528,-6689,-1030,5003,-1819
-3895,7938,-7814,111,4406,3154,-7960,-2174,-3904,-350,5259,-1497
-5325,5607,-4412,-139,5090,2645,-7797,-380,-1425,-82,5458,-1257
-13832,27428,32767,-509,5129,2350,-32768,-8204,32767,-180,5091,-1041
27446,-17810,3692,453,-109,1545,14048,20078,12926,435,-1747,-2756
-7179,13299,-7757,1642,33,359,-3394,10817,801,-2285,410,-663
4055,2185,50,-412,-161,297,-3024,3997,-1506,-2618,88,343
2610,566,2039,-2383,1020,-38,-1045,7884,-1198,-2148,281,1114
2761,-1243,1837,-4488,1689,-276,-2355,5625,2394,-1272,521,1664
2429,-3363,3081,-4328,1833,-651,-2706,4880,4121,931,306,1982
1293,-4061,4166,-3198,1643,-1001,-3196,5472,4227,1933,83,2301
1225,-3808,4535,-2499,1437,-1480,-2961,4747,3366,2849,-157,2758
-229,-3061,4833,-1422,1135,-2229,-3142,5213,2956,3355,-344,3138
-1512,-2277,4786,-893,915,-2783,-3170,5630,2225,3654,-523,3644
-2527,-1603,4567,-650,786,-3328,-3677,5298,1661,3687,-524,4097
-3710,-729,3983,-759,772,-3995,-4453,5036,1043,3477,-292,4755
-4634,-265,4060,-1040,857,-4463,-6049,3646,1301,2798,87,5259
-6243,600,3800,-1289,1058,-5035,-7961,972,1350,855,581,5837
-7984,1724,4078,-1319,1246,-5443,-8733,-1485,383,-79,675,6035
-10817,3658,4972,-1115,1359,-5811,-8509,-4521,1164,374,500,5653
-12424,3744,4743,-802,1309,-6019,-8417,-7071,1888,1509,484,5076
-13783,4145,3704,-297,1268,-6313,-8900,-7744,3355,1987,1046,4572
-15086,4807,3044,24,1294,-6504,-7603,-5680,3369,1006,1717,4562
-16538,5710,2384,378,1331,-6770,-6778,-6220,2024,-329,2170,4564
-17402,5889,1597,576,1367,-6982,-7038,-8335,2019,130,2226,4250
-18652,6343,864,905,1405,-7066,-7933,-10803,2835,1550,2089,3642
-19554,6946,397,1109,1339,-7003,-8057,-9415,2801,3715,1896,2656
-20042,7830,67,1240,1333,-6875,-7460,-6893,2252,4865,1769,1960
-19744,7824,126,1418,1471,-6667,-7411,-3102,2544,5216,1747,1287
-19004,7869,191,1767,1636,-6299,-7494,-742,3292,4554,1889,1066
-17465,8077,-232,2360,1767,-5539,-8385,-743,3872,3457,2104,1004
-15824,8314,-609,2838,1708,-4799,-9074,-1459,3822,3095,2176,980
